Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Dolpa,4,1,0,0
2020-07-08,Karnali,Dolpa,4,1,0,0
2020-07-09,Karnali,Dolpa,4,1,0,0
2020-07-10,Karnali,Dolpa,5,1,0,0
2020-07-11,Karnali,Dolpa,5,1,0,0
2020-07-12,Karnali,Dolpa,5,1,0,0
2020-07-13,Karnali,Dolpa,5,1,0,0
2020-07-14,Karnali,Dolpa,5,1,0,0
2020-07-15,Karnali,Dolpa,5,1,0,0
2020-07-16,Karnali,Dolpa,5,1,0,0
2020-07-17,Karnali,Dolpa,5,1,0,0
2020-07-18,Karnali,Dolpa,5,1,0,0
2020-07-19,Karnali,Dolpa,5,1,0,0
2020-07-20,Karnali,Dolpa,5,1,0,0
2020-07-21,Karnali,Dolpa,5,1,0,0
2020-07-22,Karnali,Dolpa,5,1,0,0
2020-07-23,Karnali,Dolpa,5,1,0,0
2020-07-24,Karnali,Dolpa,5,1,0,0
2020-07-25,Karnali,Dolpa,5,1,0,0
2020-07-26,Karnali,Dolpa,5,1,0,0
2020-07-27,Karnali,Dolpa,5,1,0,0
2020-07-28,Karnali,Dolpa,5,1,0,0
2020-07-29,Karnali,Dolpa,5,1,0,0
2020-07-30,Karnali,Dolpa,5,1,0,0
2020-07-31,Karnali,Dolpa,5,1,0,0
2020-08-01,Karnali,Dolpa,5,1,0,0
2020-08-02,Karnali,Dolpa,5,1,0,0
2020-08-03,Karnali,Dolpa,5,1,2,0
2020-08-04,Karnali,Dolpa,5,1,2,0
2020-08-05,Karnali,Dolpa,5,1,2,0
2020-08-06,Karnali,Dolpa,5,1,2,0
2020-08-07,Karnali,Dolpa,5,1,2,0
2020-08-08,Karnali,Dolpa,5,1,2,0
2020-08-09,Karnali,Dolpa,5,1,2,0
2020-08-10,Karnali,Dolpa,5,1,2,0
2020-08-11,Karnali,Dolpa,5,1,2,0
2020-08-12,Karnali,Dolpa,5,1,2,0
2020-08-13,Karnali,Dolpa,5,1,2,0
2020-08-14,Karnali,Dolpa,5,1,2,0
2020-08-15,Karnali,Dolpa,5,1,2,0
2020-08-16,Karnali,Dolpa,5,1,2,0
2020-08-17,Karnali,Dolpa,5,1,2,0
2020-08-18,Karnali,Dolpa,5,1,2,0
2020-08-19,Karnali,Dolpa,6,1,2,0
2020-08-20,Karnali,Dolpa,6,1,2,0
2020-08-21,Karnali,Dolpa,6,1,2,0
2020-08-22,Karnali,Dolpa,6,1,2,0
2020-08-23,Karnali,Dolpa,6,1,2,0
2020-08-24,Karnali,Dolpa,6,1,2,0
2020-08-25,Karnali,Dolpa,6,1,2,0
2020-08-26,Karnali,Dolpa,6,1,2,0
2020-08-27,Karnali,Dolpa,6,1,2,0
2020-08-28,Karnali,Dolpa,6,1,2,0
2020-08-29,Karnali,Dolpa,6,1,2,0
2020-08-30,Karnali,Dolpa,6,1,2,0
2020-08-31,Karnali,Dolpa,6,1,2,0
2020-09-01,Karnali,Dolpa,6,1,2,0
2020-09-02,Karnali,Dolpa,6,1,2,0
2020-09-03,Karnali,Dolpa,6,1,2,0
2020-09-04,Karnali,Dolpa,6,1,2,0
2020-09-05,Karnali,Dolpa,6,1,2,0
2020-09-06,Karnali,Dolpa,6,1,2,0
2020-09-07,Karnali,Dolpa,6,1,2,0
2020-09-08,Karnali,Dolpa,6,1,2,0
2020-09-09,Karnali,Dolpa,6,1,2,0
2020-09-10,Karnali,Dolpa,6,1,2,0
2020-09-11,Karnali,Dolpa,6,1,2,0
2020-09-12,Karnali,Dolpa,6,1,2,0
2020-09-13,Karnali,Dolpa,6,1,2,0
2020-09-14,Karnali,Dolpa,6,1,2,0
2020-09-15,Karnali,Dolpa,6,1,2,0
2020-09-16,Karnali,Dolpa,6,1,2,0
2020-09-17,Karnali,Dolpa,6,1,2,0
2020-09-18,Karnali,Dolpa,6,1,2,0
2020-09-19,Karnali,Dolpa,6,1,2,0
2020-09-20,Karnali,Dolpa,6,1,2,0
2020-09-21,Karnali,Dolpa,6,1,2,0
2020-09-22,Karnali,Dolpa,6,1,2,0
2020-09-23,Karnali,Dolpa,6,1,2,0
2020-09-24,Karnali,Dolpa,6,1,2,0
2020-09-25,Karnali,Dolpa,6,1,2,0
2020-09-26,Karnali,Dolpa,6,1,2,0
2020-09-27,Karnali,Dolpa,6,1,2,0
2020-09-28,Karnali,Dolpa,6,1,2,0
2020-09-29,Karnali,Dolpa,6,1,2,0
2020-09-30,Karnali,Dolpa,6,1,2,0
2020-10-01,Karnali,Dolpa,6,1,2,0
2020-10-02,Karnali,Dolpa,6,1,2,0
