Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Kailali,864,4,34,0
2020-07-08,Sudurpashchim,Kailali,900,4,34,0
2020-07-09,Sudurpashchim,Kailali,908,4,34,0
2020-07-10,Sudurpashchim,Kailali,909,4,34,0
2020-07-11,Sudurpashchim,Kailali,909,4,34,0
2020-07-12,Sudurpashchim,Kailali,911,4,34,0
2020-07-13,Sudurpashchim,Kailali,922,4,34,0
2020-07-14,Sudurpashchim,Kailali,927,4,34,0
2020-07-15,Sudurpashchim,Kailali,927,4,34,0
2020-07-16,Sudurpashchim,Kailali,941,4,34,0
2020-07-17,Sudurpashchim,Kailali,941,4,34,0
2020-07-18,Sudurpashchim,Kailali,954,4,34,0
2020-07-19,Sudurpashchim,Kailali,978,4,34,0
2020-07-20,Sudurpashchim,Kailali,979,4,34,0
2020-07-21,Sudurpashchim,Kailali,983,4,34,0
2020-07-22,Sudurpashchim,Kailali,983,4,34,0
2020-07-23,Sudurpashchim,Kailali,985,4,34,0
2020-07-24,Sudurpashchim,Kailali,993,4,34,0
2020-07-25,Sudurpashchim,Kailali,993,4,34,0
2020-07-26,Sudurpashchim,Kailali,993,4,34,0
2020-07-27,Sudurpashchim,Kailali,993,4,34,0
2020-07-28,Sudurpashchim,Kailali,1011,4,34,0
