Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Jhapa,286,0,182,0
2020-07-08,Province 1,Jhapa,294,0,182,0
2020-07-09,Province 1,Jhapa,295,0,182,0
2020-07-10,Province 1,Jhapa,295,0,182,0
2020-07-11,Province 1,Jhapa,297,0,182,0
2020-07-12,Province 1,Jhapa,298,0,182,0
2020-07-13,Province 1,Jhapa,302,0,182,0
2020-07-14,Province 1,Jhapa,303,0,182,0
2020-07-15,Province 1,Jhapa,303,0,182,0
2020-07-16,Province 1,Jhapa,307,0,182,0
2020-07-17,Province 1,Jhapa,309,0,182,0
2020-07-18,Province 1,Jhapa,310,0,182,0
2020-07-19,Province 1,Jhapa,310,0,182,0
2020-07-20,Province 1,Jhapa,313,0,182,0
2020-07-21,Province 1,Jhapa,315,0,182,0
2020-07-22,Province 1,Jhapa,316,0,182,0
2020-07-23,Province 1,Jhapa,317,0,182,0
2020-07-24,Province 1,Jhapa,342,0,182,0
2020-07-25,Province 1,Jhapa,343,0,182,0
2020-07-26,Province 1,Jhapa,344,0,182,0
2020-07-27,Province 1,Jhapa,346,0,182,0
2020-07-28,Province 1,Jhapa,349,0,182,0
2020-07-29,Province 1,Jhapa,349,0,182,0
2020-07-30,Province 1,Jhapa,353,0,182,0
2020-07-31,Province 1,Jhapa,366,0,182,0
2020-08-01,Province 1,Jhapa,368,0,182,0
2020-08-02,Province 1,Jhapa,368,0,182,0
2020-08-03,Province 1,Jhapa,373,0,322,0
2020-08-04,Province 1,Jhapa,381,0,322,0
2020-08-05,Province 1,Jhapa,381,0,322,0
2020-08-06,Province 1,Jhapa,389,0,322,0
2020-08-07,Province 1,Jhapa,391,0,322,0
2020-08-08,Province 1,Jhapa,391,0,322,0
2020-08-09,Province 1,Jhapa,395,0,322,0
2020-08-10,Province 1,Jhapa,396,0,322,0
2020-08-11,Province 1,Jhapa,408,0,322,0
2020-08-12,Province 1,Jhapa,418,0,322,0
2020-08-13,Province 1,Jhapa,420,0,322,0
2020-08-14,Province 1,Jhapa,429,0,322,0
