Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Baglung,211,1,13,0
2020-07-08,Gandaki,Baglung,211,1,13,0
2020-07-09,Gandaki,Baglung,213,1,13,0
2020-07-10,Gandaki,Baglung,215,1,13,0
2020-07-11,Gandaki,Baglung,218,1,13,0
2020-07-12,Gandaki,Baglung,220,1,13,0
2020-07-13,Gandaki,Baglung,222,1,13,0
2020-07-14,Gandaki,Baglung,222,1,13,0
2020-07-15,Gandaki,Baglung,222,1,13,0
2020-07-16,Gandaki,Baglung,224,1,13,0
2020-07-17,Gandaki,Baglung,224,1,13,0
2020-07-18,Gandaki,Baglung,225,1,13,0
2020-07-19,Gandaki,Baglung,226,1,13,0
2020-07-20,Gandaki,Baglung,226,1,13,0
2020-07-21,Gandaki,Baglung,229,1,13,0
2020-07-22,Gandaki,Baglung,234,1,13,0
2020-07-23,Gandaki,Baglung,234,1,13,0
2020-07-24,Gandaki,Baglung,235,1,13,0
2020-07-25,Gandaki,Baglung,235,1,13,0
2020-07-26,Gandaki,Baglung,235,1,13,0
2020-07-27,Gandaki,Baglung,235,1,13,0
2020-07-28,Gandaki,Baglung,235,1,13,0
2020-07-29,Gandaki,Baglung,242,1,13,0
