Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Solukhumbu,1,0,1,0
2020-07-08,Province 1,Solukhumbu,1,0,1,0
2020-07-09,Province 1,Solukhumbu,1,0,1,0
2020-07-10,Province 1,Solukhumbu,1,0,1,0
2020-07-11,Province 1,Solukhumbu,1,0,1,0
2020-07-12,Province 1,Solukhumbu,2,0,1,0
2020-07-13,Province 1,Solukhumbu,2,0,1,0
2020-07-14,Province 1,Solukhumbu,2,0,1,0
2020-07-15,Province 1,Solukhumbu,2,0,1,0
2020-07-16,Province 1,Solukhumbu,2,0,1,0
2020-07-17,Province 1,Solukhumbu,2,0,1,0
2020-07-18,Province 1,Solukhumbu,2,0,1,0
2020-07-19,Province 1,Solukhumbu,2,0,1,0
2020-07-20,Province 1,Solukhumbu,6,0,1,0
2020-07-21,Province 1,Solukhumbu,6,0,1,0
2020-07-22,Province 1,Solukhumbu,6,0,1,0
2020-07-23,Province 1,Solukhumbu,6,0,1,0
2020-07-24,Province 1,Solukhumbu,6,0,1,0
2020-07-25,Province 1,Solukhumbu,6,0,1,0
2020-07-26,Province 1,Solukhumbu,10,0,1,0
2020-07-27,Province 1,Solukhumbu,10,0,1,0
2020-07-28,Province 1,Solukhumbu,10,0,1,0
2020-07-29,Province 1,Solukhumbu,10,0,1,0
2020-07-30,Province 1,Solukhumbu,10,0,1,0
2020-07-31,Province 1,Solukhumbu,10,0,1,0
2020-08-01,Province 1,Solukhumbu,10,0,1,0
2020-08-02,Province 1,Solukhumbu,10,0,1,0
2020-08-03,Province 1,Solukhumbu,9,0,7,0
2020-08-04,Province 1,Solukhumbu,9,0,7,0
2020-08-05,Province 1,Solukhumbu,9,0,7,0
2020-08-06,Province 1,Solukhumbu,9,0,7,0
2020-08-07,Province 1,Solukhumbu,9,0,7,0
2020-08-08,Province 1,Solukhumbu,9,0,7,0
2020-08-09,Province 1,Solukhumbu,9,0,7,0
2020-08-10,Province 1,Solukhumbu,9,0,7,0
2020-08-11,Province 1,Solukhumbu,9,0,7,0
2020-08-12,Province 1,Solukhumbu,9,0,7,0
2020-08-13,Province 1,Solukhumbu,9,0,7,0
2020-08-14,Province 1,Solukhumbu,9,0,7,0
2020-08-15,Province 1,Solukhumbu,9,0,7,0
2020-08-16,Province 1,Solukhumbu,9,0,7,0
2020-08-17,Province 1,Solukhumbu,9,0,7,0
2020-08-18,Province 1,Solukhumbu,12,0,7,0
2020-08-19,Province 1,Solukhumbu,12,0,7,0
2020-08-20,Province 1,Solukhumbu,12,0,7,0
2020-08-21,Province 1,Solukhumbu,12,0,7,0
2020-08-22,Province 1,Solukhumbu,12,0,7,0
2020-08-23,Province 1,Solukhumbu,12,0,7,0
2020-08-24,Province 1,Solukhumbu,12,0,7,0
2020-08-25,Province 1,Solukhumbu,14,0,7,0
2020-08-26,Province 1,Solukhumbu,14,0,7,0
2020-08-27,Province 1,Solukhumbu,14,0,7,0
2020-08-28,Province 1,Solukhumbu,15,0,7,0
2020-08-29,Province 1,Solukhumbu,15,0,7,0
2020-08-30,Province 1,Solukhumbu,15,0,7,0
2020-08-31,Province 1,Solukhumbu,15,0,7,0
2020-09-01,Province 1,Solukhumbu,15,0,7,0
2020-09-02,Province 1,Solukhumbu,15,0,7,0
2020-09-03,Province 1,Solukhumbu,15,0,7,0
2020-09-04,Province 1,Solukhumbu,15,0,7,0
2020-09-05,Province 1,Solukhumbu,15,0,7,0
2020-09-06,Province 1,Solukhumbu,15,0,7,0
2020-09-07,Province 1,Solukhumbu,16,0,7,0
2020-09-08,Province 1,Solukhumbu,16,0,7,0
2020-09-09,Province 1,Solukhumbu,16,0,7,0
2020-09-10,Province 1,Solukhumbu,16,0,7,0
2020-09-11,Province 1,Solukhumbu,16,0,7,0
2020-09-12,Province 1,Solukhumbu,16,0,7,0
2020-09-13,Province 1,Solukhumbu,16,0,7,0
2020-09-14,Province 1,Solukhumbu,16,0,7,0
2020-09-15,Province 1,Solukhumbu,16,0,7,0
2020-09-16,Province 1,Solukhumbu,16,0,7,0
2020-09-17,Province 1,Solukhumbu,16,0,7,0
2020-09-18,Province 1,Solukhumbu,16,0,7,0
2020-09-19,Province 1,Solukhumbu,16,0,7,0
2020-09-20,Province 1,Solukhumbu,16,0,7,0
2020-09-21,Province 1,Solukhumbu,16,0,7,0
2020-09-22,Province 1,Solukhumbu,16,0,7,0
2020-09-23,Province 1,Solukhumbu,16,0,7,0
2020-09-24,Province 1,Solukhumbu,16,0,7,0
2020-09-25,Province 1,Solukhumbu,16,0,7,0
2020-09-26,Province 1,Solukhumbu,17,0,7,0
2020-09-27,Province 1,Solukhumbu,17,0,7,0
2020-09-28,Province 1,Solukhumbu,17,0,7,0
2020-09-29,Province 1,Solukhumbu,17,0,7,0
2020-09-30,Province 1,Solukhumbu,17,0,7,0
2020-10-01,Province 1,Solukhumbu,17,0,7,0
2020-10-02,Province 1,Solukhumbu,17,0,7,0
2020-10-03,Province 1,Solukhumbu,17,0,7,0
2020-10-04,Province 1,Solukhumbu,17,0,7,0
2020-10-05,Province 1,Solukhumbu,17,0,7,0
2020-10-06,Province 1,Solukhumbu,17,0,7,0
2020-10-07,Province 1,Solukhumbu,17,0,7,0
2020-10-08,Province 1,Solukhumbu,19,0,7,0
2020-10-09,Province 1,Solukhumbu,19,0,7,0
2020-10-10,Province 1,Solukhumbu,19,0,7,0
2020-10-11,Province 1,Solukhumbu,20,0,7,0
2020-10-12,Province 1,Solukhumbu,21,0,7,0
2020-10-13,Province 1,Solukhumbu,22,0,7,0
2020-10-14,Province 1,Solukhumbu,22,0,7,0
2020-10-15,Province 1,Solukhumbu,22,0,7,0
2020-10-16,Province 1,Solukhumbu,22,0,7,0
2020-10-17,Province 1,Solukhumbu,22,0,7,0
2020-10-18,Province 1,Solukhumbu,22,0,7,0
2020-10-19,Province 1,Solukhumbu,20,0,7,0
2020-10-20,Province 1,Solukhumbu,20,0,7,0
2020-10-21,Province 1,Solukhumbu,26,0,7,0
2020-10-22,Province 1,Solukhumbu,27,0,7,0
2020-10-23,Province 1,Solukhumbu,27,0,7,0
2020-10-25,Province 1,Solukhumbu,28,0,7,0
2020-10-26,Province 1,Solukhumbu,28,0,7,0
2020-10-27,Province 1,Solukhumbu,28,0,7,0
2020-10-28,Province 1,Solukhumbu,37,0,7,0
2020-10-29,Province 1,Solukhumbu,37,0,7,0
2020-10-30,Province 1,Solukhumbu,39,0,7,0
2020-10-31,Province 1,Solukhumbu,40,1,7,0
2020-11-01,Province 1,Solukhumbu,73,1,7,0
2020-11-02,Province 1,Solukhumbu,102,1,7,0
2020-11-03,Province 1,Solukhumbu,104,1,7,0
2020-11-04,Province 1,Solukhumbu,104,1,7,0
2020-11-05,Province 1,Solukhumbu,104,1,7,0
2020-11-06,Province 1,Solukhumbu,104,1,7,0
2020-11-07,Province 1,Solukhumbu,104,1,7,0
2020-11-08,Province 1,Solukhumbu,108,1,7,0
2020-11-09,Province 1,Solukhumbu,108,1,7,0
2020-11-10,Province 1,Solukhumbu,108,1,7,0
2020-11-11,Province 1,Solukhumbu,111,1,7,0
2020-11-12,Province 1,Solukhumbu,111,1,7,0
2020-11-13,Province 1,Solukhumbu,119,1,7,0
2020-11-14,Province 1,Solukhumbu,122,1,7,0
2020-11-15,Province 1,Solukhumbu,122,1,7,0
2020-11-16,Province 1,Solukhumbu,122,1,7,0
2020-11-17,Province 1,Solukhumbu,135,1,7,0
2020-11-18,Province 1,Solukhumbu,135,1,7,0
2020-11-19,Province 1,Solukhumbu,135,1,7,0
2020-11-20,Province 1,Solukhumbu,138,1,7,0
2020-11-21,Province 1,Solukhumbu,139,1,7,0
2020-11-22,Province 1,Solukhumbu,140,1,7,0
2020-11-23,Province 1,Solukhumbu,146,1,7,0
2020-11-24,Province 1,Solukhumbu,148,1,7,0
2020-11-25,Province 1,Solukhumbu,148,1,7,0
2020-11-26,Province 1,Solukhumbu,149,1,7,0
2020-11-27,Province 1,Solukhumbu,149,1,7,0
2020-11-28,Province 1,Solukhumbu,149,1,1243,0
2020-11-29,Province 1,Solukhumbu,156,2,1243,0
2020-11-30,Province 1,Solukhumbu,160,2,1243,0
2020-12-01,Province 1,Solukhumbu,160,2,1243,0
2020-12-02,Province 1,Solukhumbu,160,2,1243,0
2020-12-03,Province 1,Solukhumbu,160,2,1243,0
2020-12-04,Province 1,Solukhumbu,160,2,1243,0
2020-12-05,Province 1,Solukhumbu,160,2,1243,0
2020-12-06,Province 1,Solukhumbu,166,2,1243,0
2020-12-07,Province 1,Solukhumbu,166,2,1243,0
