Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Mugu,2,0,1,0
2020-07-08,Karnali,Mugu,4,0,1,0
2020-07-09,Karnali,Mugu,6,0,1,0
2020-07-10,Karnali,Mugu,6,0,1,0
2020-07-11,Karnali,Mugu,6,0,1,0
2020-07-12,Karnali,Mugu,6,0,1,0
2020-07-13,Karnali,Mugu,6,0,1,0
2020-07-14,Karnali,Mugu,6,0,1,0
2020-07-15,Karnali,Mugu,7,0,1,0
2020-07-16,Karnali,Mugu,8,0,1,0
2020-07-17,Karnali,Mugu,8,0,1,0
2020-07-18,Karnali,Mugu,8,0,1,0
2020-07-19,Karnali,Mugu,8,0,1,0
2020-07-20,Karnali,Mugu,8,0,1,0
2020-07-21,Karnali,Mugu,8,0,1,0
2020-07-22,Karnali,Mugu,8,0,1,0
2020-07-23,Karnali,Mugu,8,0,1,0
2020-07-24,Karnali,Mugu,8,0,1,0
2020-07-25,Karnali,Mugu,10,0,1,0
2020-07-26,Karnali,Mugu,10,0,1,0
2020-07-27,Karnali,Mugu,10,0,1,0
2020-07-28,Karnali,Mugu,10,0,1,0
2020-07-29,Karnali,Mugu,10,0,1,0
2020-07-30,Karnali,Mugu,11,0,1,0
2020-07-31,Karnali,Mugu,11,0,1,0
