Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Kalikot,53,0,52,0
2020-07-08,Karnali,Kalikot,54,0,52,0
2020-07-09,Karnali,Kalikot,54,0,52,0
2020-07-10,Karnali,Kalikot,54,0,52,0
2020-07-11,Karnali,Kalikot,54,0,52,0
2020-07-12,Karnali,Kalikot,61,0,52,0
2020-07-13,Karnali,Kalikot,61,0,52,0
2020-07-14,Karnali,Kalikot,61,0,52,0
2020-07-15,Karnali,Kalikot,61,0,52,0
2020-07-16,Karnali,Kalikot,61,0,52,0
2020-07-17,Karnali,Kalikot,61,0,52,0
2020-07-18,Karnali,Kalikot,61,0,52,0
2020-07-19,Karnali,Kalikot,61,0,52,0
2020-07-20,Karnali,Kalikot,62,0,52,0
2020-07-21,Karnali,Kalikot,62,0,52,0
2020-07-22,Karnali,Kalikot,68,0,52,0
2020-07-23,Karnali,Kalikot,68,0,52,0
2020-07-24,Karnali,Kalikot,70,0,52,0
2020-07-25,Karnali,Kalikot,73,0,52,0
2020-07-26,Karnali,Kalikot,73,0,52,0
2020-07-27,Karnali,Kalikot,73,0,52,0
2020-07-28,Karnali,Kalikot,73,0,52,0
2020-07-29,Karnali,Kalikot,73,0,52,0
2020-07-30,Karnali,Kalikot,73,0,52,0
2020-07-31,Karnali,Kalikot,73,0,52,0
2020-08-01,Karnali,Kalikot,73,0,52,0
2020-08-02,Karnali,Kalikot,73,0,52,0
2020-08-03,Karnali,Kalikot,73,0,54,0
2020-08-04,Karnali,Kalikot,72,0,54,0
2020-08-05,Karnali,Kalikot,73,0,54,0
2020-08-06,Karnali,Kalikot,73,0,54,0
2020-08-07,Karnali,Kalikot,77,0,54,0
2020-08-08,Karnali,Kalikot,77,0,54,0
2020-08-09,Karnali,Kalikot,79,0,54,0
2020-08-10,Karnali,Kalikot,79,0,54,0
2020-08-11,Karnali,Kalikot,80,0,54,0
2020-08-12,Karnali,Kalikot,80,0,54,0
2020-08-13,Karnali,Kalikot,80,0,54,0
