Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Dailekh,799,2,308,0
2020-07-08,Karnali,Dailekh,804,2,308,0
2020-07-09,Karnali,Dailekh,807,2,308,0
2020-07-10,Karnali,Dailekh,809,2,308,0
2020-07-11,Karnali,Dailekh,809,2,308,0
2020-07-12,Karnali,Dailekh,810,2,308,0
2020-07-13,Karnali,Dailekh,812,2,308,0
2020-07-14,Karnali,Dailekh,818,2,308,0
2020-07-15,Karnali,Dailekh,821,2,308,0
2020-07-16,Karnali,Dailekh,827,2,308,0
2020-07-17,Karnali,Dailekh,827,2,308,0
2020-07-18,Karnali,Dailekh,832,2,308,0
2020-07-19,Karnali,Dailekh,832,2,308,0
2020-07-20,Karnali,Dailekh,834,2,308,0
2020-07-21,Karnali,Dailekh,844,2,308,0
2020-07-22,Karnali,Dailekh,860,2,308,0
2020-07-23,Karnali,Dailekh,884,2,308,0
2020-07-24,Karnali,Dailekh,892,2,308,0
2020-07-25,Karnali,Dailekh,894,2,308,0
2020-07-26,Karnali,Dailekh,919,2,308,0
2020-07-27,Karnali,Dailekh,947,2,308,0
2020-07-28,Karnali,Dailekh,948,2,308,0
2020-07-29,Karnali,Dailekh,948,2,308,0
2020-07-30,Karnali,Dailekh,958,2,308,0
2020-07-31,Karnali,Dailekh,960,2,308,0
2020-08-01,Karnali,Dailekh,960,2,308,0
2020-08-02,Karnali,Dailekh,960,2,308,0
2020-08-03,Karnali,Dailekh,944,1,805,0
2020-08-04,Karnali,Dailekh,944,1,805,0
2020-08-05,Karnali,Dailekh,944,1,805,0
2020-08-06,Karnali,Dailekh,945,1,805,0
2020-08-07,Karnali,Dailekh,945,1,805,0
2020-08-08,Karnali,Dailekh,945,1,805,0
2020-08-09,Karnali,Dailekh,946,1,805,0
2020-08-10,Karnali,Dailekh,963,1,805,0
2020-08-11,Karnali,Dailekh,966,1,805,0
2020-08-12,Karnali,Dailekh,970,1,805,0
2020-08-13,Karnali,Dailekh,970,1,805,0
2020-08-14,Karnali,Dailekh,975,1,805,0
2020-08-15,Karnali,Dailekh,978,1,805,0
2020-08-16,Karnali,Dailekh,978,1,805,0
2020-08-17,Karnali,Dailekh,979,1,805,0
2020-08-18,Karnali,Dailekh,984,1,805,0
2020-08-19,Karnali,Dailekh,988,1,805,0
2020-08-20,Karnali,Dailekh,1007,1,805,0
2020-08-21,Karnali,Dailekh,1008,1,805,0
2020-08-22,Karnali,Dailekh,1008,1,805,0
2020-08-23,Karnali,Dailekh,1008,1,805,0
