Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Mustang,1,0,0,0
2020-07-08,Gandaki,Mustang,1,0,0,0
2020-07-09,Gandaki,Mustang,1,0,0,0
2020-07-10,Gandaki,Mustang,1,0,0,0
2020-07-11,Gandaki,Mustang,1,0,0,0
2020-07-12,Gandaki,Mustang,1,0,0,0
2020-07-13,Gandaki,Mustang,1,0,0,0
2020-07-14,Gandaki,Mustang,1,0,0,0
2020-07-15,Gandaki,Mustang,1,0,0,0
2020-07-16,Gandaki,Mustang,1,0,7591,0
2020-07-17,Gandaki,Mustang,1,0,7876,0
2020-07-18,Gandaki,Mustang,1,0,7979,0
2020-07-19,Gandaki,Mustang,1,0,8037,0
2020-07-20,Gandaki,Mustang,1,0,8210,0
2020-07-21,Gandaki,Mustang,1,0,8819,0
2020-07-22,Gandaki,Mustang,1,0,9026,0
2020-07-23,Gandaki,Mustang,1,0,9182,0
2020-07-24,Gandaki,Mustang,1,0,9289,0
2020-07-25,Gandaki,Mustang,1,0,9395,0
2020-07-26,Gandaki,Mustang,1,0,9470,0
2020-07-27,Gandaki,Mustang,1,0,10096,0
2020-07-28,Gandaki,Mustang,1,0,10217,0
2020-07-29,Gandaki,Mustang,1,0,10363,0
2020-07-30,Gandaki,Mustang,1,0,10590,0
2020-07-31,Gandaki,Mustang,1,0,10741,0
2020-08-01,Gandaki,Mustang,1,0,10834,0
2020-08-02,Gandaki,Mustang,1,0,10945,0
2020-08-03,Gandaki,Mustang,1,0,359,0
2020-08-04,Gandaki,Mustang,1,0,424,0
2020-08-05,Gandaki,Mustang,1,0,554,0
2020-08-06,Gandaki,Mustang,1,0,787,0
2020-08-07,Gandaki,Mustang,1,0,1212,0
2020-08-08,Gandaki,Mustang,1,0,1711,0
2020-08-09,Gandaki,Mustang,1,0,1751,0
2020-08-10,Gandaki,Mustang,1,0,1891,0
2020-08-11,Gandaki,Mustang,1,0,2062,0
2020-08-12,Gandaki,Mustang,1,0,2126,0
2020-08-13,Gandaki,Mustang,1,0,2235,0
2020-08-14,Gandaki,Mustang,1,0,2475,0
2020-08-15,Gandaki,Mustang,1,0,2599,0
2020-08-16,Gandaki,Mustang,1,0,2599,0
2020-08-17,Gandaki,Mustang,1,0,2893,0
2020-08-18,Gandaki,Mustang,1,0,2978,0
2020-08-19,Gandaki,Mustang,1,0,3098,0
2020-08-20,Gandaki,Mustang,1,0,3362,0
2020-08-21,Gandaki,Mustang,1,0,3612,0
2020-08-22,Gandaki,Mustang,1,0,3748,0
2020-08-23,Gandaki,Mustang,1,0,4029,0
2020-08-24,Gandaki,Mustang,1,0,4204,0
2020-08-25,Gandaki,Mustang,1,0,4517,0
2020-08-26,Gandaki,Mustang,1,0,4902,0
2020-08-27,Gandaki,Mustang,1,0,5471,0
2020-08-28,Gandaki,Mustang,1,0,5640,0
2020-08-29,Gandaki,Mustang,1,0,5953,0
2020-08-30,Gandaki,Mustang,1,0,6220,0
2020-08-31,Gandaki,Mustang,1,0,6808,0
2020-09-01,Gandaki,Mustang,1,0,7576,0
2020-09-02,Gandaki,Mustang,1,0,8688,0
2020-09-03,Gandaki,Mustang,1,0,9605,0
2020-09-04,Gandaki,Mustang,1,0,10959,0
2020-09-05,Gandaki,Mustang,1,0,12525,0
2020-09-06,Gandaki,Mustang,1,0,14339,0
2020-09-07,Gandaki,Mustang,1,0,16075,0
2020-09-08,Gandaki,Mustang,1,0,18362,0
2020-09-09,Gandaki,Mustang,1,0,19280,0
2020-09-10,Gandaki,Mustang,1,0,21098,0
2020-09-11,Gandaki,Mustang,1,0,22070,0
2020-09-12,Gandaki,Mustang,1,0,22922,0
2020-09-13,Gandaki,Mustang,1,0,24095,0
2020-09-14,Gandaki,Mustang,1,0,24974,0
2020-09-15,Gandaki,Mustang,1,0,26036,0
2020-09-16,Gandaki,Mustang,1,0,27104,0
2020-09-17,Gandaki,Mustang,1,0,28347,0
2020-09-18,Gandaki,Mustang,1,0,29218,0
2020-09-19,Gandaki,Mustang,1,0,30665,0
2020-09-20,Gandaki,Mustang,1,0,31631,0
2020-09-21,Gandaki,Mustang,1,0,32636,0
2020-09-22,Gandaki,Mustang,1,0,33459,0
2020-09-23,Gandaki,Mustang,1,0,35352,0
2020-09-24,Gandaki,Mustang,1,0,35809,0
2020-09-25,Gandaki,Mustang,1,0,37264,0
2020-09-26,Gandaki,Mustang,1,0,38411,0
2020-09-27,Gandaki,Mustang,1,0,39296,0
2020-09-28,Gandaki,Mustang,1,0,40038,0
