Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Palpa,544,1,1,0
2020-07-08,Province 5,Palpa,549,1,1,0
2020-07-09,Province 5,Palpa,549,1,1,0
2020-07-10,Province 5,Palpa,553,1,1,0
2020-07-11,Province 5,Palpa,554,1,1,0
2020-07-12,Province 5,Palpa,555,1,1,0
2020-07-13,Province 5,Palpa,555,1,1,0
2020-07-14,Province 5,Palpa,560,1,1,0
2020-07-15,Province 5,Palpa,560,1,1,0
2020-07-16,Province 5,Palpa,560,1,1,0
2020-07-17,Province 5,Palpa,561,1,1,0
2020-07-18,Province 5,Palpa,563,1,1,0
2020-07-19,Province 5,Palpa,563,1,1,0
2020-07-20,Province 5,Palpa,563,1,1,0
2020-07-21,Province 5,Palpa,563,1,1,0
2020-07-22,Province 5,Palpa,563,1,1,0
2020-07-23,Province 5,Palpa,563,1,1,0
2020-07-24,Province 5,Palpa,563,1,1,0
2020-07-25,Province 5,Palpa,567,1,1,0
2020-07-26,Province 5,Palpa,567,1,1,0
2020-07-27,Province 5,Palpa,567,1,1,0
2020-07-28,Province 5,Palpa,567,1,1,0
2020-07-29,Province 5,Palpa,567,1,1,0
2020-07-30,Province 5,Palpa,567,1,1,0
2020-07-31,Province 5,Palpa,567,1,1,0
2020-08-01,Province 5,Palpa,567,1,1,0
2020-08-02,Province 5,Palpa,567,1,1,0
2020-08-03,Province 5,Palpa,568,1,556,0
2020-08-04,Province 5,Palpa,568,1,556,0
2020-08-05,Province 5,Palpa,568,1,556,0
2020-08-06,Province 5,Palpa,568,1,556,0
2020-08-07,Province 5,Palpa,568,1,556,0
2020-08-08,Province 5,Palpa,568,1,556,0
2020-08-09,Province 5,Palpa,569,1,556,0
2020-08-10,Province 5,Palpa,570,1,556,0
2020-08-11,Province 5,Palpa,570,1,556,0
2020-08-12,Province 5,Palpa,571,1,556,0
2020-08-13,Province 5,Palpa,572,1,556,0
2020-08-14,Province 5,Palpa,572,1,556,0
2020-08-15,Province 5,Palpa,572,1,556,0
2020-08-16,Province 5,Palpa,572,1,556,0
2020-08-17,Province 5,Palpa,572,1,556,0
2020-08-18,Province 5,Palpa,572,1,556,0
2020-08-19,Province 5,Palpa,573,1,556,0
2020-08-20,Province 5,Palpa,573,1,556,0
2020-08-21,Province 5,Palpa,574,1,556,0
2020-08-22,Province 5,Palpa,575,1,556,0
2020-08-23,Province 5,Palpa,577,1,556,0
2020-08-24,Province 5,Palpa,579,1,556,0
2020-08-25,Province 5,Palpa,583,1,556,0
2020-08-26,Province 5,Palpa,583,1,556,0
2020-08-27,Province 5,Palpa,584,1,556,0
2020-08-28,Province 5,Palpa,584,1,556,0
2020-08-29,Province 5,Palpa,584,2,556,0
2020-08-30,Province 5,Palpa,592,2,556,0
2020-08-31,Province 5,Palpa,593,2,556,0
2020-09-01,Province 5,Palpa,594,2,556,0
2020-09-02,Province 5,Palpa,595,2,556,0
2020-09-03,Province 5,Palpa,597,2,556,0
2020-09-04,Province 5,Palpa,603,3,556,0
2020-09-05,Province 5,Palpa,606,3,556,0
2020-09-06,Province 5,Palpa,625,3,556,0
2020-09-07,Province 5,Palpa,630,3,556,0
2020-09-08,Province 5,Palpa,630,3,556,0
2020-09-09,Province 5,Palpa,632,3,556,0
2020-09-10,Province 5,Palpa,661,3,556,0
2020-09-11,Province 5,Palpa,673,3,556,0
2020-09-12,Province 5,Palpa,682,3,556,0
2020-09-13,Province 5,Palpa,683,3,556,0
2020-09-14,Province 5,Palpa,701,3,556,0
2020-09-15,Province 5,Palpa,717,3,556,0
2020-09-16,Province 5,Palpa,719,3,556,0
