Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Western Rukum,21,0,0,0
2020-07-08,Karnali,Western Rukum,28,0,0,0
2020-07-09,Karnali,Western Rukum,28,0,0,0
2020-07-10,Karnali,Western Rukum,28,0,0,0
2020-07-11,Karnali,Western Rukum,29,0,0,0
2020-07-12,Karnali,Western Rukum,31,0,0,0
2020-07-13,Karnali,Western Rukum,33,0,0,0
2020-07-14,Karnali,Western Rukum,33,0,0,0
2020-07-15,Karnali,Western Rukum,33,0,0,0
2020-07-16,Karnali,Western Rukum,34,0,0,0
2020-07-17,Karnali,Western Rukum,35,0,0,0
2020-07-18,Karnali,Western Rukum,38,0,0,0
2020-07-19,Karnali,Western Rukum,38,0,0,0
2020-07-20,Karnali,Western Rukum,38,0,0,0
2020-07-21,Karnali,Western Rukum,38,0,0,0
2020-07-22,Karnali,Western Rukum,38,0,0,0
2020-07-23,Karnali,Western Rukum,38,0,0,0
2020-07-24,Karnali,Western Rukum,38,0,0,0
2020-07-25,Karnali,Western Rukum,38,0,0,0
2020-07-26,Karnali,Western Rukum,38,0,0,0
2020-07-27,Karnali,Western Rukum,38,0,0,0
2020-07-28,Karnali,Western Rukum,38,0,0,0
2020-07-29,Karnali,Western Rukum,38,0,0,0
2020-07-30,Karnali,Western Rukum,38,0,0,0
2020-07-31,Karnali,Western Rukum,38,0,0,0
2020-08-01,Karnali,Western Rukum,38,0,0,0
2020-08-02,Karnali,Western Rukum,38,0,0,0
2020-08-03,Karnali,Western Rukum,40,0,31,0
2020-08-04,Karnali,Western Rukum,41,0,31,0
2020-08-05,Karnali,Western Rukum,41,0,31,0
2020-08-06,Karnali,Western Rukum,41,0,31,0
2020-08-07,Karnali,Western Rukum,41,0,31,0
2020-08-08,Karnali,Western Rukum,42,0,31,0
2020-08-09,Karnali,Western Rukum,42,0,31,0
2020-08-10,Karnali,Western Rukum,42,0,31,0
2020-08-11,Karnali,Western Rukum,43,0,31,0
2020-08-12,Karnali,Western Rukum,44,0,31,0
2020-08-13,Karnali,Western Rukum,44,0,31,0
2020-08-14,Karnali,Western Rukum,44,0,31,0
2020-08-15,Karnali,Western Rukum,44,0,31,0
2020-08-16,Karnali,Western Rukum,44,0,31,0
2020-08-17,Karnali,Western Rukum,44,0,31,0
2020-08-18,Karnali,Western Rukum,45,0,31,0
2020-08-19,Karnali,Western Rukum,45,0,31,0
2020-08-20,Karnali,Western Rukum,46,0,31,0
2020-08-21,Karnali,Western Rukum,49,0,31,0
2020-08-22,Karnali,Western Rukum,49,0,31,0
2020-08-23,Karnali,Western Rukum,55,0,31,0
2020-08-24,Karnali,Western Rukum,73,0,31,0
2020-08-25,Karnali,Western Rukum,73,0,31,0
2020-08-26,Karnali,Western Rukum,73,0,31,0
2020-08-27,Karnali,Western Rukum,73,0,31,0
2020-08-28,Karnali,Western Rukum,73,0,31,0
2020-08-29,Karnali,Western Rukum,74,0,31,0
2020-08-30,Karnali,Western Rukum,74,0,31,0
2020-08-31,Karnali,Western Rukum,74,0,31,0
2020-09-01,Karnali,Western Rukum,74,0,31,0
2020-09-02,Karnali,Western Rukum,74,0,31,0
2020-09-03,Karnali,Western Rukum,74,0,31,0
2020-09-04,Karnali,Western Rukum,75,0,31,0
2020-09-05,Karnali,Western Rukum,75,0,31,0
2020-09-06,Karnali,Western Rukum,75,0,31,0
2020-09-07,Karnali,Western Rukum,75,0,31,0
2020-09-08,Karnali,Western Rukum,75,0,31,0
2020-09-09,Karnali,Western Rukum,75,0,31,0
2020-09-10,Karnali,Western Rukum,81,0,31,0
2020-09-11,Karnali,Western Rukum,92,0,31,0
2020-09-12,Karnali,Western Rukum,92,0,31,0
2020-09-13,Karnali,Western Rukum,93,0,31,0
2020-09-14,Karnali,Western Rukum,93,0,31,0
2020-09-15,Karnali,Western Rukum,93,0,31,0
2020-09-16,Karnali,Western Rukum,94,0,31,0
2020-09-17,Karnali,Western Rukum,94,0,31,0
2020-09-18,Karnali,Western Rukum,117,0,31,0
2020-09-19,Karnali,Western Rukum,117,0,31,0
2020-09-20,Karnali,Western Rukum,117,0,31,0
2020-09-21,Karnali,Western Rukum,119,0,31,0
2020-09-22,Karnali,Western Rukum,119,0,31,0
2020-09-23,Karnali,Western Rukum,119,0,31,0
2020-09-24,Karnali,Western Rukum,119,0,31,0
2020-09-25,Karnali,Western Rukum,119,0,31,0
2020-09-26,Karnali,Western Rukum,119,0,31,0
2020-09-27,Karnali,Western Rukum,119,0,31,0
2020-09-28,Karnali,Western Rukum,119,0,31,0
2020-09-29,Karnali,Western Rukum,120,0,31,0
2020-09-30,Karnali,Western Rukum,120,0,31,0
2020-10-01,Karnali,Western Rukum,128,0,31,0
2020-10-02,Karnali,Western Rukum,128,0,31,0
2020-10-03,Karnali,Western Rukum,128,0,31,0
2020-10-04,Karnali,Western Rukum,130,0,31,0
2020-10-05,Karnali,Western Rukum,131,0,31,0
2020-10-06,Karnali,Western Rukum,135,0,31,0
2020-10-07,Karnali,Western Rukum,138,0,31,0
2020-10-08,Karnali,Western Rukum,143,0,31,0
2020-10-09,Karnali,Western Rukum,144,0,31,0
2020-10-10,Karnali,Western Rukum,155,0,31,0
2020-10-11,Karnali,Western Rukum,157,0,31,0
2020-10-12,Karnali,Western Rukum,157,0,31,0
2020-10-13,Karnali,Western Rukum,158,0,31,0
2020-10-14,Karnali,Western Rukum,159,0,31,0
2020-10-15,Karnali,Western Rukum,159,0,31,0
2020-10-16,Karnali,Western Rukum,162,0,31,0
2020-10-17,Karnali,Western Rukum,166,1,31,0
2020-10-18,Karnali,Western Rukum,168,1,31,0
2020-10-19,Karnali,Western Rukum,167,1,31,0
2020-10-20,Karnali,Western Rukum,168,1,31,0
2020-10-21,Karnali,Western Rukum,168,1,31,0
2020-10-22,Karnali,Western Rukum,174,1,31,0
2020-10-23,Karnali,Western Rukum,177,1,31,0
2020-10-25,Karnali,Western Rukum,179,1,31,0
2020-10-26,Karnali,Western Rukum,180,1,31,0
2020-10-27,Karnali,Western Rukum,180,1,31,0
2020-10-28,Karnali,Western Rukum,180,1,31,0
2020-10-29,Karnali,Western Rukum,180,1,31,0
2020-10-30,Karnali,Western Rukum,180,1,31,0
2020-10-31,Karnali,Western Rukum,180,1,31,0
