Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Kavrepalanchok,10,0,6,0
2020-07-08,Bagmati,Kavrepalanchok,12,0,6,0
2020-07-09,Bagmati,Kavrepalanchok,12,0,6,0
2020-07-10,Bagmati,Kavrepalanchok,14,0,6,0
2020-07-11,Bagmati,Kavrepalanchok,14,0,6,0
2020-07-12,Bagmati,Kavrepalanchok,14,0,6,0
2020-07-13,Bagmati,Kavrepalanchok,15,0,6,0
2020-07-14,Bagmati,Kavrepalanchok,17,0,6,0
2020-07-15,Bagmati,Kavrepalanchok,17,0,6,0
2020-07-16,Bagmati,Kavrepalanchok,17,0,6,0
2020-07-17,Bagmati,Kavrepalanchok,18,0,6,0
2020-07-18,Bagmati,Kavrepalanchok,18,0,6,0
2020-07-19,Bagmati,Kavrepalanchok,18,0,6,0
2020-07-20,Bagmati,Kavrepalanchok,18,0,6,0
2020-07-21,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-22,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-23,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-24,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-25,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-26,Bagmati,Kavrepalanchok,19,0,6,0
2020-07-27,Bagmati,Kavrepalanchok,20,0,6,0
2020-07-28,Bagmati,Kavrepalanchok,20,0,6,0
2020-07-29,Bagmati,Kavrepalanchok,20,0,6,0
2020-07-30,Bagmati,Kavrepalanchok,20,0,6,0
2020-07-31,Bagmati,Kavrepalanchok,20,0,6,0
2020-08-01,Bagmati,Kavrepalanchok,21,0,6,0
2020-08-02,Bagmati,Kavrepalanchok,21,0,6,0
2020-08-03,Bagmati,Kavrepalanchok,24,0,23,0
2020-08-04,Bagmati,Kavrepalanchok,24,0,23,0
2020-08-05,Bagmati,Kavrepalanchok,24,0,23,0
2020-08-06,Bagmati,Kavrepalanchok,27,0,23,0
2020-08-07,Bagmati,Kavrepalanchok,27,0,23,0
2020-08-08,Bagmati,Kavrepalanchok,34,0,23,0
2020-08-09,Bagmati,Kavrepalanchok,34,0,23,0
2020-08-10,Bagmati,Kavrepalanchok,34,0,23,0
2020-08-11,Bagmati,Kavrepalanchok,38,1,23,0
2020-08-12,Bagmati,Kavrepalanchok,43,1,23,0
2020-08-13,Bagmati,Kavrepalanchok,51,1,23,0
2020-08-14,Bagmati,Kavrepalanchok,51,1,23,0
2020-08-15,Bagmati,Kavrepalanchok,60,1,23,0
2020-08-16,Bagmati,Kavrepalanchok,60,1,23,0
2020-08-17,Bagmati,Kavrepalanchok,64,1,23,0
2020-08-18,Bagmati,Kavrepalanchok,85,2,23,0
2020-08-19,Bagmati,Kavrepalanchok,85,2,23,0
2020-08-20,Bagmati,Kavrepalanchok,86,2,23,0
2020-08-21,Bagmati,Kavrepalanchok,86,2,23,0
2020-08-22,Bagmati,Kavrepalanchok,89,2,23,0
2020-08-23,Bagmati,Kavrepalanchok,116,2,23,0
2020-08-24,Bagmati,Kavrepalanchok,121,2,23,0
2020-08-25,Bagmati,Kavrepalanchok,126,2,23,0
2020-08-26,Bagmati,Kavrepalanchok,147,2,23,0
2020-08-27,Bagmati,Kavrepalanchok,160,2,23,0
2020-08-28,Bagmati,Kavrepalanchok,177,2,23,0
2020-08-29,Bagmati,Kavrepalanchok,196,2,23,0
2020-08-30,Bagmati,Kavrepalanchok,221,2,23,0
2020-08-31,Bagmati,Kavrepalanchok,234,2,23,0
2020-09-01,Bagmati,Kavrepalanchok,242,2,23,0
2020-09-02,Bagmati,Kavrepalanchok,243,2,23,0
2020-09-03,Bagmati,Kavrepalanchok,250,2,23,0
2020-09-04,Bagmati,Kavrepalanchok,257,2,23,0
2020-09-05,Bagmati,Kavrepalanchok,263,2,23,0
2020-09-06,Bagmati,Kavrepalanchok,264,2,23,0
2020-09-07,Bagmati,Kavrepalanchok,292,2,23,0
2020-09-08,Bagmati,Kavrepalanchok,294,2,23,0
2020-09-09,Bagmati,Kavrepalanchok,302,2,23,0
2020-09-10,Bagmati,Kavrepalanchok,338,2,23,0
2020-09-11,Bagmati,Kavrepalanchok,349,2,23,0
