Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Sarlahi,690,0,226,0
2020-07-08,Province 2,Sarlahi,693,0,226,0
2020-07-09,Province 2,Sarlahi,693,0,226,0
2020-07-10,Province 2,Sarlahi,701,0,226,0
2020-07-11,Province 2,Sarlahi,704,0,226,0
2020-07-12,Province 2,Sarlahi,705,0,226,0
2020-07-13,Province 2,Sarlahi,705,0,226,0
2020-07-14,Province 2,Sarlahi,705,0,226,0
2020-07-15,Province 2,Sarlahi,705,0,226,0
2020-07-16,Province 2,Sarlahi,705,0,226,0
2020-07-17,Province 2,Sarlahi,705,0,226,0
2020-07-18,Province 2,Sarlahi,707,0,226,0
2020-07-19,Province 2,Sarlahi,732,0,226,0
2020-07-20,Province 2,Sarlahi,755,0,226,0
2020-07-21,Province 2,Sarlahi,758,0,226,0
2020-07-22,Province 2,Sarlahi,761,0,226,0
2020-07-23,Province 2,Sarlahi,761,0,226,0
2020-07-24,Province 2,Sarlahi,763,0,226,0
2020-07-25,Province 2,Sarlahi,764,0,226,0
2020-07-26,Province 2,Sarlahi,764,0,226,0
2020-07-27,Province 2,Sarlahi,764,0,226,0
2020-07-28,Province 2,Sarlahi,765,0,226,0
2020-07-29,Province 2,Sarlahi,766,0,226,0
2020-07-30,Province 2,Sarlahi,771,0,226,0
2020-07-31,Province 2,Sarlahi,772,0,226,0
2020-08-01,Province 2,Sarlahi,772,0,226,0
2020-08-02,Province 2,Sarlahi,774,0,226,0
2020-08-03,Province 2,Sarlahi,778,0,628,0
2020-08-04,Province 2,Sarlahi,804,0,628,0
2020-08-05,Province 2,Sarlahi,809,0,628,0
2020-08-06,Province 2,Sarlahi,818,1,628,0
2020-08-07,Province 2,Sarlahi,830,2,628,0
2020-08-08,Province 2,Sarlahi,898,2,628,0
2020-08-09,Province 2,Sarlahi,902,2,628,0
2020-08-10,Province 2,Sarlahi,923,2,628,0
2020-08-11,Province 2,Sarlahi,964,2,628,0
2020-08-12,Province 2,Sarlahi,970,2,628,0
2020-08-13,Province 2,Sarlahi,996,2,628,0
2020-08-14,Province 2,Sarlahi,1010,2,628,0
2020-08-15,Province 2,Sarlahi,1064,2,628,0
2020-08-16,Province 2,Sarlahi,1066,2,628,0
2020-08-17,Province 2,Sarlahi,1082,2,628,0
2020-08-18,Province 2,Sarlahi,1189,2,628,0
2020-08-19,Province 2,Sarlahi,1200,2,628,0
2020-08-20,Province 2,Sarlahi,1293,2,628,0
2020-08-21,Province 2,Sarlahi,1317,3,628,0
2020-08-22,Province 2,Sarlahi,1318,3,628,0
