Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Rasuwa,10,0,0,0
2020-07-08,Bagmati,Rasuwa,10,0,0,0
2020-07-09,Bagmati,Rasuwa,10,0,0,0
2020-07-10,Bagmati,Rasuwa,11,0,0,0
2020-07-11,Bagmati,Rasuwa,11,0,0,0
2020-07-12,Bagmati,Rasuwa,11,0,0,0
2020-07-13,Bagmati,Rasuwa,11,0,0,0
2020-07-14,Bagmati,Rasuwa,11,0,0,0
2020-07-15,Bagmati,Rasuwa,11,0,0,0
2020-07-16,Bagmati,Rasuwa,11,0,0,0
2020-07-17,Bagmati,Rasuwa,11,0,0,0
2020-07-18,Bagmati,Rasuwa,11,0,0,0
2020-07-19,Bagmati,Rasuwa,11,0,0,0
2020-07-20,Bagmati,Rasuwa,11,0,0,0
2020-07-21,Bagmati,Rasuwa,11,0,0,0
2020-07-22,Bagmati,Rasuwa,11,0,0,0
2020-07-23,Bagmati,Rasuwa,11,0,0,0
2020-07-24,Bagmati,Rasuwa,11,0,0,0
2020-07-25,Bagmati,Rasuwa,11,0,0,0
2020-07-26,Bagmati,Rasuwa,11,0,0,0
2020-07-27,Bagmati,Rasuwa,11,0,0,0
2020-07-28,Bagmati,Rasuwa,11,0,0,0
2020-07-29,Bagmati,Rasuwa,11,0,0,0
2020-07-30,Bagmati,Rasuwa,11,0,0,0
2020-07-31,Bagmati,Rasuwa,11,0,0,0
2020-08-01,Bagmati,Rasuwa,11,0,0,0
2020-08-02,Bagmati,Rasuwa,11,0,0,0
2020-08-03,Bagmati,Rasuwa,12,0,11,0
2020-08-04,Bagmati,Rasuwa,12,0,11,0
2020-08-05,Bagmati,Rasuwa,12,0,11,0
2020-08-06,Bagmati,Rasuwa,12,0,11,0
2020-08-07,Bagmati,Rasuwa,12,0,11,0
2020-08-08,Bagmati,Rasuwa,12,0,11,0
2020-08-09,Bagmati,Rasuwa,12,0,11,0
2020-08-10,Bagmati,Rasuwa,12,0,11,0
2020-08-11,Bagmati,Rasuwa,12,0,11,0
2020-08-12,Bagmati,Rasuwa,12,0,11,0
2020-08-13,Bagmati,Rasuwa,12,0,11,0
