Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Morang,183,0,92,0
2020-07-08,Province 1,Morang,187,0,92,0
2020-07-09,Province 1,Morang,187,0,92,0
2020-07-10,Province 1,Morang,187,0,92,0
2020-07-11,Province 1,Morang,190,0,92,0
2020-07-12,Province 1,Morang,192,0,92,0
2020-07-13,Province 1,Morang,193,0,92,0
2020-07-14,Province 1,Morang,193,0,92,0
2020-07-15,Province 1,Morang,194,0,92,0
2020-07-16,Province 1,Morang,197,0,92,0
2020-07-17,Province 1,Morang,199,0,92,0
2020-07-18,Province 1,Morang,208,0,92,0
2020-07-19,Province 1,Morang,209,0,92,0
2020-07-20,Province 1,Morang,210,0,92,0
2020-07-21,Province 1,Morang,213,0,92,0
2020-07-22,Province 1,Morang,216,0,92,0
2020-07-23,Province 1,Morang,224,0,92,0
2020-07-24,Province 1,Morang,226,0,92,0
2020-07-25,Province 1,Morang,226,0,92,0
2020-07-26,Province 1,Morang,252,0,92,0
2020-07-27,Province 1,Morang,270,0,92,0
2020-07-28,Province 1,Morang,287,0,92,0
2020-07-29,Province 1,Morang,295,0,92,0
2020-07-30,Province 1,Morang,297,1,92,0
2020-07-31,Province 1,Morang,312,1,92,0
2020-08-01,Province 1,Morang,314,1,92,0
2020-08-02,Province 1,Morang,330,1,92,0
2020-08-03,Province 1,Morang,376,1,218,0
2020-08-04,Province 1,Morang,398,2,218,0
2020-08-05,Province 1,Morang,412,2,218,0
2020-08-06,Province 1,Morang,436,4,218,0
2020-08-07,Province 1,Morang,500,4,218,0
2020-08-08,Province 1,Morang,523,5,218,0
2020-08-09,Province 1,Morang,551,5,218,0
2020-08-10,Province 1,Morang,566,5,218,0
2020-08-11,Province 1,Morang,608,5,218,0
2020-08-12,Province 1,Morang,656,6,218,0
2020-08-13,Province 1,Morang,744,7,218,0
2020-08-14,Province 1,Morang,807,8,218,0
2020-08-15,Province 1,Morang,872,8,218,0
2020-08-16,Province 1,Morang,972,9,218,0
2020-08-17,Province 1,Morang,1012,10,218,0
2020-08-18,Province 1,Morang,1120,11,218,0
2020-08-19,Province 1,Morang,1189,12,218,0
2020-08-20,Province 1,Morang,1198,12,218,0
2020-08-21,Province 1,Morang,1243,13,218,0
2020-08-22,Province 1,Morang,1295,13,218,0
2020-08-23,Province 1,Morang,1345,13,218,0
2020-08-24,Province 1,Morang,1376,13,218,0
2020-08-25,Province 1,Morang,1419,13,218,0
2020-08-26,Province 1,Morang,1432,14,218,0
2020-08-27,Province 1,Morang,1452,14,218,0
2020-08-28,Province 1,Morang,1499,16,218,0
2020-08-29,Province 1,Morang,1530,16,218,0
2020-08-30,Province 1,Morang,1579,17,218,0
2020-08-31,Province 1,Morang,1598,17,218,0
2020-09-01,Province 1,Morang,1610,17,218,0
2020-09-02,Province 1,Morang,1663,17,218,0
2020-09-03,Province 1,Morang,1709,17,218,0
2020-09-04,Province 1,Morang,1785,17,218,0
2020-09-05,Province 1,Morang,1820,18,218,0
2020-09-06,Province 1,Morang,1849,20,218,0
2020-09-07,Province 1,Morang,1888,21,218,0
2020-09-08,Province 1,Morang,1939,21,218,0
2020-09-09,Province 1,Morang,2016,21,218,0
2020-09-10,Province 1,Morang,2032,21,218,0
2020-09-11,Province 1,Morang,2079,22,218,0
2020-09-12,Province 1,Morang,2137,22,218,0
2020-09-13,Province 1,Morang,2208,23,218,0
2020-09-14,Province 1,Morang,2240,25,218,0
2020-09-15,Province 1,Morang,2351,25,218,0
2020-09-16,Province 1,Morang,2386,25,218,0
2020-09-17,Province 1,Morang,2480,26,218,0
2020-09-18,Province 1,Morang,2598,28,218,0
2020-09-19,Province 1,Morang,2631,29,218,0
2020-09-20,Province 1,Morang,2694,29,218,0
2020-09-21,Province 1,Morang,2801,29,218,0
2020-09-22,Province 1,Morang,2858,29,218,0
2020-09-23,Province 1,Morang,2902,29,218,0
2020-09-24,Province 1,Morang,2975,30,218,0
2020-09-25,Province 1,Morang,3044,32,218,0
2020-09-26,Province 1,Morang,3122,32,218,0
2020-09-27,Province 1,Morang,3274,32,218,0
2020-09-28,Province 1,Morang,3323,32,218,0
2020-09-29,Province 1,Morang,3424,33,218,0
2020-09-30,Province 1,Morang,3522,34,218,0
2020-10-01,Province 1,Morang,3627,34,218,0
2020-10-02,Province 1,Morang,3777,35,218,0
2020-10-03,Province 1,Morang,3888,35,218,0
2020-10-04,Province 1,Morang,3969,35,218,0
2020-10-05,Province 1,Morang,4024,35,218,0
2020-10-06,Province 1,Morang,4051,35,218,0
