Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Myagdi,23,1,5,0
2020-07-08,Gandaki,Myagdi,24,1,5,0
2020-07-09,Gandaki,Myagdi,26,1,5,0
2020-07-10,Gandaki,Myagdi,26,1,5,0
2020-07-11,Gandaki,Myagdi,28,1,5,0
2020-07-12,Gandaki,Myagdi,28,1,5,0
2020-07-13,Gandaki,Myagdi,30,1,5,0
2020-07-14,Gandaki,Myagdi,30,1,5,0
2020-07-15,Gandaki,Myagdi,39,1,5,0
2020-07-16,Gandaki,Myagdi,39,1,5,0
2020-07-17,Gandaki,Myagdi,39,1,5,0
2020-07-18,Gandaki,Myagdi,39,1,5,0
2020-07-19,Gandaki,Myagdi,45,1,5,0
2020-07-20,Gandaki,Myagdi,45,1,5,0
2020-07-21,Gandaki,Myagdi,48,1,5,0
2020-07-22,Gandaki,Myagdi,48,1,5,0
2020-07-23,Gandaki,Myagdi,48,1,5,0
2020-07-24,Gandaki,Myagdi,48,1,5,0
2020-07-25,Gandaki,Myagdi,48,1,5,0
2020-07-26,Gandaki,Myagdi,48,1,5,0
2020-07-27,Gandaki,Myagdi,48,1,5,0
2020-07-28,Gandaki,Myagdi,48,1,5,0
2020-07-29,Gandaki,Myagdi,50,1,5,0
2020-07-30,Gandaki,Myagdi,50,1,5,0
2020-07-31,Gandaki,Myagdi,52,1,5,0
2020-08-01,Gandaki,Myagdi,52,1,5,0
2020-08-02,Gandaki,Myagdi,52,1,5,0
2020-08-03,Gandaki,Myagdi,50,1,41,0
2020-08-04,Gandaki,Myagdi,50,1,41,0
2020-08-05,Gandaki,Myagdi,50,1,41,0
2020-08-06,Gandaki,Myagdi,50,1,41,0
2020-08-07,Gandaki,Myagdi,50,1,41,0
2020-08-08,Gandaki,Myagdi,51,1,41,0
2020-08-09,Gandaki,Myagdi,51,1,41,0
2020-08-10,Gandaki,Myagdi,51,1,41,0
2020-08-11,Gandaki,Myagdi,51,1,41,0
2020-08-12,Gandaki,Myagdi,51,1,41,0
2020-08-13,Gandaki,Myagdi,51,1,41,0
2020-08-14,Gandaki,Myagdi,51,1,41,0
2020-08-15,Gandaki,Myagdi,51,1,41,0
2020-08-16,Gandaki,Myagdi,51,1,41,0
2020-08-17,Gandaki,Myagdi,51,1,41,0
2020-08-18,Gandaki,Myagdi,51,1,41,0
2020-08-19,Gandaki,Myagdi,51,1,41,0
2020-08-20,Gandaki,Myagdi,51,1,41,0
2020-08-21,Gandaki,Myagdi,51,1,41,0
2020-08-22,Gandaki,Myagdi,51,1,41,0
2020-08-23,Gandaki,Myagdi,51,1,41,0
2020-08-24,Gandaki,Myagdi,52,1,41,0
2020-08-25,Gandaki,Myagdi,52,1,41,0
2020-08-26,Gandaki,Myagdi,52,1,41,0
2020-08-27,Gandaki,Myagdi,52,1,41,0
2020-08-28,Gandaki,Myagdi,52,1,41,0
2020-08-29,Gandaki,Myagdi,52,1,41,0
2020-08-30,Gandaki,Myagdi,52,1,41,0
2020-08-31,Gandaki,Myagdi,52,1,41,0
2020-09-01,Gandaki,Myagdi,52,1,41,0
2020-09-02,Gandaki,Myagdi,52,1,41,0
2020-09-03,Gandaki,Myagdi,52,1,41,0
2020-09-04,Gandaki,Myagdi,53,1,41,0
2020-09-05,Gandaki,Myagdi,53,1,41,0
2020-09-06,Gandaki,Myagdi,53,1,41,0
2020-09-07,Gandaki,Myagdi,53,1,41,0
2020-09-08,Gandaki,Myagdi,53,1,41,0
2020-09-09,Gandaki,Myagdi,53,1,41,0
2020-09-10,Gandaki,Myagdi,53,1,41,0
2020-09-11,Gandaki,Myagdi,53,1,41,0
2020-09-12,Gandaki,Myagdi,53,1,41,0
2020-09-13,Gandaki,Myagdi,53,1,41,0
2020-09-14,Gandaki,Myagdi,53,1,41,0
2020-09-15,Gandaki,Myagdi,53,1,41,0
2020-09-16,Gandaki,Myagdi,54,1,41,0
2020-09-17,Gandaki,Myagdi,54,1,41,0
2020-09-18,Gandaki,Myagdi,54,1,41,0
2020-09-19,Gandaki,Myagdi,54,1,41,0
2020-09-20,Gandaki,Myagdi,54,1,41,0
2020-09-21,Gandaki,Myagdi,54,1,41,0
2020-09-22,Gandaki,Myagdi,54,1,41,0
2020-09-23,Gandaki,Myagdi,54,1,41,0
2020-09-24,Gandaki,Myagdi,54,1,41,0
2020-09-25,Gandaki,Myagdi,54,1,41,0
2020-09-26,Gandaki,Myagdi,54,1,41,0
2020-09-27,Gandaki,Myagdi,54,1,41,0
2020-09-28,Gandaki,Myagdi,54,1,41,0
2020-09-29,Gandaki,Myagdi,54,1,41,0
2020-09-30,Gandaki,Myagdi,55,1,41,0
2020-10-01,Gandaki,Myagdi,55,1,41,0
2020-10-02,Gandaki,Myagdi,58,1,41,0
2020-10-03,Gandaki,Myagdi,59,1,41,0
2020-10-04,Gandaki,Myagdi,59,1,41,0
2020-10-05,Gandaki,Myagdi,59,1,41,0
2020-10-06,Gandaki,Myagdi,60,1,41,0
2020-10-07,Gandaki,Myagdi,62,1,41,0
2020-10-08,Gandaki,Myagdi,62,1,41,0
2020-10-09,Gandaki,Myagdi,62,1,41,0
2020-10-10,Gandaki,Myagdi,69,1,41,0
2020-10-11,Gandaki,Myagdi,69,1,41,0
2020-10-12,Gandaki,Myagdi,70,1,41,0
2020-10-13,Gandaki,Myagdi,73,1,41,0
2020-10-14,Gandaki,Myagdi,74,1,41,0
2020-10-15,Gandaki,Myagdi,75,1,41,0
2020-10-16,Gandaki,Myagdi,81,1,41,0
2020-10-17,Gandaki,Myagdi,84,1,41,0
2020-10-18,Gandaki,Myagdi,86,1,41,0
2020-10-19,Gandaki,Myagdi,86,1,41,0
2020-10-20,Gandaki,Myagdi,86,1,41,0
2020-10-21,Gandaki,Myagdi,88,2,41,0
2020-10-22,Gandaki,Myagdi,88,2,41,0
2020-10-23,Gandaki,Myagdi,96,2,41,0
2020-10-25,Gandaki,Myagdi,98,2,41,0
2020-10-26,Gandaki,Myagdi,98,2,41,0
2020-10-27,Gandaki,Myagdi,103,2,41,0
2020-10-28,Gandaki,Myagdi,103,2,41,0
2020-10-29,Gandaki,Myagdi,108,2,41,0
2020-10-30,Gandaki,Myagdi,112,2,41,0
2020-10-31,Gandaki,Myagdi,112,2,41,0
2020-11-01,Gandaki,Myagdi,119,2,41,0
2020-11-02,Gandaki,Myagdi,119,2,41,0
2020-11-03,Gandaki,Myagdi,125,2,41,0
2020-11-04,Gandaki,Myagdi,140,2,41,0
2020-11-05,Gandaki,Myagdi,141,2,41,0
2020-11-06,Gandaki,Myagdi,141,2,41,0
2020-11-07,Gandaki,Myagdi,141,2,41,0
2020-11-08,Gandaki,Myagdi,149,2,41,0
2020-11-09,Gandaki,Myagdi,150,2,41,0
2020-11-10,Gandaki,Myagdi,154,2,41,0
2020-11-11,Gandaki,Myagdi,154,2,41,0
2020-11-12,Gandaki,Myagdi,154,2,41,0
2020-11-13,Gandaki,Myagdi,156,2,41,0
2020-11-14,Gandaki,Myagdi,166,2,41,0
2020-11-15,Gandaki,Myagdi,166,2,41,0
2020-11-16,Gandaki,Myagdi,166,2,41,0
2020-11-17,Gandaki,Myagdi,166,2,41,0
2020-11-18,Gandaki,Myagdi,166,2,41,0
2020-11-19,Gandaki,Myagdi,166,2,41,0
2020-11-20,Gandaki,Myagdi,167,2,41,0
2020-11-21,Gandaki,Myagdi,170,2,41,0
2020-11-22,Gandaki,Myagdi,171,2,41,0
2020-11-23,Gandaki,Myagdi,179,2,41,0
2020-11-24,Gandaki,Myagdi,180,2,41,0
2020-11-25,Gandaki,Myagdi,183,2,41,0
2020-11-26,Gandaki,Myagdi,183,2,41,0
2020-11-27,Gandaki,Myagdi,183,2,41,0
2020-11-28,Gandaki,Myagdi,186,2,41,0
2020-11-29,Gandaki,Myagdi,187,2,41,0
2020-11-30,Gandaki,Myagdi,197,2,41,0
2020-12-01,Gandaki,Myagdi,198,2,41,0
2020-12-02,Gandaki,Myagdi,198,2,41,0
2020-12-03,Gandaki,Myagdi,198,2,41,0
2020-12-04,Gandaki,Myagdi,209,3,41,0
2020-12-05,Gandaki,Myagdi,209,3,41,0
2020-12-06,Gandaki,Myagdi,216,3,41,0
2020-12-07,Gandaki,Myagdi,216,3,41,0
2020-12-08,Gandaki,Myagdi,216,4,41,0
2020-12-09,Gandaki,Myagdi,217,4,41,0
2020-12-10,Gandaki,Myagdi,217,4,41,0
2020-12-11,Gandaki,Myagdi,218,4,41,0
2020-12-12,Gandaki,Myagdi,218,4,41,0
2020-12-13,Gandaki,Myagdi,219,4,41,0
2020-12-14,Gandaki,Myagdi,219,4,41,0
2020-12-15,Gandaki,Myagdi,220,4,41,0
2020-12-16,Gandaki,Myagdi,220,4,,0
2020-12-17,Gandaki,Myagdi,220,4,,0
2020-12-18,Gandaki,Myagdi,223,4,,0
2020-12-19,Gandaki,Myagdi,224,4,,0
2020-12-20,Gandaki,Myagdi,230,4,,0
2020-12-21,Gandaki,Myagdi,231,4,,0
2020-12-22,Gandaki,Myagdi,231,4,,0
2020-12-23,Gandaki,Myagdi,240,4,,0
2020-12-24,Gandaki,Myagdi,240,4,,0
2020-12-25,Gandaki,Myagdi,240,4,,0
