Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Humla,2,0,1,0
2020-07-08,Karnali,Humla,2,0,1,0
2020-07-09,Karnali,Humla,2,0,1,0
2020-07-10,Karnali,Humla,2,0,1,0
2020-07-11,Karnali,Humla,2,0,1,0
2020-07-12,Karnali,Humla,2,0,1,0
2020-07-13,Karnali,Humla,2,0,1,0
2020-07-14,Karnali,Humla,2,0,1,0
2020-07-15,Karnali,Humla,2,0,1,0
2020-07-16,Karnali,Humla,2,0,2,0
2020-07-17,Karnali,Humla,2,0,2,0
2020-07-18,Karnali,Humla,2,0,2,0
2020-07-19,Karnali,Humla,2,0,2,0
2020-07-20,Karnali,Humla,3,0,2,0
2020-07-21,Karnali,Humla,3,0,2,0
2020-07-22,Karnali,Humla,3,0,2,0
2020-07-23,Karnali,Humla,3,0,2,0
2020-07-24,Karnali,Humla,3,0,2,0
2020-07-25,Karnali,Humla,4,0,2,0
2020-07-26,Karnali,Humla,4,0,2,0
2020-07-27,Karnali,Humla,4,0,2,0
2020-07-28,Karnali,Humla,4,0,2,0
2020-07-29,Karnali,Humla,4,0,2,0
2020-07-30,Karnali,Humla,4,0,2,0
2020-07-31,Karnali,Humla,4,0,2,0
2020-08-01,Karnali,Humla,4,0,2,0
2020-08-02,Karnali,Humla,4,0,2,0
2020-08-03,Karnali,Humla,4,0,2,0
2020-08-04,Karnali,Humla,4,0,2,0
2020-08-05,Karnali,Humla,4,0,2,0
2020-08-06,Karnali,Humla,4,0,2,0
2020-08-07,Karnali,Humla,4,0,2,0
2020-08-08,Karnali,Humla,4,0,2,0
2020-08-09,Karnali,Humla,4,0,2,0
2020-08-10,Karnali,Humla,4,0,2,0
2020-08-11,Karnali,Humla,4,0,2,0
2020-08-12,Karnali,Humla,4,0,2,0
2020-08-13,Karnali,Humla,4,0,2,0
2020-08-14,Karnali,Humla,5,0,2,0
2020-08-15,Karnali,Humla,5,0,2,0
2020-08-16,Karnali,Humla,5,0,2,0
2020-08-17,Karnali,Humla,5,0,2,0
2020-08-18,Karnali,Humla,5,0,2,0
2020-08-19,Karnali,Humla,5,0,2,0
2020-08-20,Karnali,Humla,5,0,2,0
2020-08-21,Karnali,Humla,5,0,2,0
2020-08-22,Karnali,Humla,5,0,2,0
2020-08-23,Karnali,Humla,5,0,2,0
2020-08-24,Karnali,Humla,5,0,2,0
2020-08-25,Karnali,Humla,5,0,2,0
2020-08-26,Karnali,Humla,5,0,2,0
2020-08-27,Karnali,Humla,5,0,2,0
2020-08-28,Karnali,Humla,5,0,2,0
2020-08-29,Karnali,Humla,5,0,2,0
2020-08-30,Karnali,Humla,5,0,2,0
2020-08-31,Karnali,Humla,5,0,2,0
2020-09-01,Karnali,Humla,5,0,2,0
2020-09-02,Karnali,Humla,5,0,2,0
2020-09-03,Karnali,Humla,5,0,2,0
2020-09-04,Karnali,Humla,5,0,2,0
2020-09-05,Karnali,Humla,5,0,2,0
2020-09-06,Karnali,Humla,5,0,2,0
2020-09-07,Karnali,Humla,5,0,2,0
2020-09-08,Karnali,Humla,5,0,2,0
2020-09-09,Karnali,Humla,5,0,2,0
2020-09-10,Karnali,Humla,5,0,2,0
2020-09-11,Karnali,Humla,5,0,2,0
2020-09-12,Karnali,Humla,5,0,2,0
2020-09-13,Karnali,Humla,5,0,2,0
2020-09-14,Karnali,Humla,5,0,2,0
2020-09-15,Karnali,Humla,5,0,2,0
2020-09-16,Karnali,Humla,5,0,2,0
2020-09-17,Karnali,Humla,5,0,2,0
2020-09-18,Karnali,Humla,5,0,2,0
2020-09-19,Karnali,Humla,5,0,2,0
2020-09-20,Karnali,Humla,5,0,2,0
2020-09-21,Karnali,Humla,5,0,2,0
2020-09-22,Karnali,Humla,5,0,2,0
2020-09-23,Karnali,Humla,5,0,2,0
2020-09-24,Karnali,Humla,5,0,2,0
2020-09-25,Karnali,Humla,5,0,2,0
2020-09-26,Karnali,Humla,5,0,2,0
2020-09-27,Karnali,Humla,5,0,2,0
2020-09-28,Karnali,Humla,5,0,2,0
2020-09-29,Karnali,Humla,5,0,2,0
2020-09-30,Karnali,Humla,7,0,2,0
2020-10-01,Karnali,Humla,7,0,2,0
2020-10-02,Karnali,Humla,7,0,2,0
2020-10-03,Karnali,Humla,7,0,2,0
2020-10-04,Karnali,Humla,7,0,2,0
2020-10-05,Karnali,Humla,7,0,2,0
2020-10-06,Karnali,Humla,7,0,2,0
2020-10-07,Karnali,Humla,7,0,2,0
2020-10-08,Karnali,Humla,10,0,2,0
2020-10-09,Karnali,Humla,10,0,2,0
2020-10-10,Karnali,Humla,10,0,2,0
2020-10-11,Karnali,Humla,10,0,2,0
2020-10-12,Karnali,Humla,14,0,2,0
2020-10-13,Karnali,Humla,14,0,2,0
2020-10-14,Karnali,Humla,14,0,2,0
2020-10-15,Karnali,Humla,14,0,2,0
2020-10-16,Karnali,Humla,15,0,2,0
2020-10-17,Karnali,Humla,16,0,2,0
2020-10-18,Karnali,Humla,19,0,2,0
2020-10-19,Karnali,Humla,19,0,2,0
2020-10-20,Karnali,Humla,19,0,2,0
2020-10-21,Karnali,Humla,22,0,2,0
2020-10-22,Karnali,Humla,22,0,2,0
2020-10-23,Karnali,Humla,23,0,2,0
2020-10-25,Karnali,Humla,23,0,2,0
2020-10-26,Karnali,Humla,23,0,2,0
2020-10-27,Karnali,Humla,23,0,2,0
2020-10-28,Karnali,Humla,23,0,2,0
2020-10-29,Karnali,Humla,24,0,2,0
2020-10-30,Karnali,Humla,25,0,2,0
2020-10-31,Karnali,Humla,25,0,2,0
2020-11-01,Karnali,Humla,25,0,2,0
2020-11-02,Karnali,Humla,25,0,2,0
2020-11-03,Karnali,Humla,25,0,2,0
2020-11-04,Karnali,Humla,25,0,2,0
2020-11-05,Karnali,Humla,25,0,2,0
2020-11-06,Karnali,Humla,25,0,4500,0
2020-11-07,Karnali,Humla,25,0,4500,0
2020-11-08,Karnali,Humla,26,0,7312,0
2020-11-09,Karnali,Humla,26,0,9110,0
2020-11-10,Karnali,Humla,27,0,9963,0
2020-11-11,Karnali,Humla,27,1,9963,0
2020-11-12,Karnali,Humla,27,1,9963,0
2020-11-13,Karnali,Humla,29,1,9963,0
2020-11-14,Karnali,Humla,29,1,9963,0
2020-11-15,Karnali,Humla,29,1,9963,0
2020-11-16,Karnali,Humla,29,1,9963,0
2020-11-17,Karnali,Humla,30,1,9963,0
2020-11-18,Karnali,Humla,30,1,9963,0
2020-11-19,Karnali,Humla,30,1,9963,0
2020-11-20,Karnali,Humla,30,1,9963,0
2020-11-21,Karnali,Humla,30,1,9963,0
2020-11-22,Karnali,Humla,30,1,9963,0
2020-11-23,Karnali,Humla,30,1,9963,0
2020-11-24,Karnali,Humla,32,1,9963,0
2020-11-25,Karnali,Humla,32,1,9963,0
2020-11-26,Karnali,Humla,32,1,9963,0
2020-11-27,Karnali,Humla,32,1,9963,0
2020-11-28,Karnali,Humla,32,1,9963,0
2020-11-29,Karnali,Humla,32,1,9963,0
2020-11-30,Karnali,Humla,32,1,9963,0
2020-12-01,Karnali,Humla,32,1,9963,0
2020-12-02,Karnali,Humla,32,1,9963,0
2020-12-03,Karnali,Humla,32,1,9963,0
2020-12-04,Karnali,Humla,32,1,9963,0
2020-12-05,Karnali,Humla,32,1,9963,0
2020-12-06,Karnali,Humla,32,1,9963,0
2020-12-07,Karnali,Humla,32,1,9963,0
2020-12-08,Karnali,Humla,33,1,9963,0
2020-12-09,Karnali,Humla,33,1,9963,0
2020-12-10,Karnali,Humla,33,1,9963,0
2020-12-11,Karnali,Humla,33,1,9963,0
2020-12-12,Karnali,Humla,33,1,9963,0
2020-12-13,Karnali,Humla,33,1,9963,0
2020-12-14,Karnali,Humla,33,1,9963,0
2020-12-15,Karnali,Humla,33,1,9963,0
2020-12-16,Karnali,Humla,33,1,,0
2020-12-17,Karnali,Humla,33,1,,0
2020-12-18,Karnali,Humla,33,1,,0
2020-12-19,Karnali,Humla,33,1,,0
2020-12-20,Karnali,Humla,33,1,,0
2020-12-21,Karnali,Humla,34,1,,0
2020-12-22,Karnali,Humla,34,1,,0
2020-12-23,Karnali,Humla,34,1,,0
2020-12-24,Karnali,Humla,35,1,,0
2020-12-25,Karnali,Humla,35,1,,0
2020-12-26,Karnali,Humla,35,1,,0
2020-12-27,Karnali,Humla,35,1,,0
2020-12-28,Karnali,Humla,35,1,,0
2020-12-29,Karnali,Humla,35,1,,0
2020-12-30,Karnali,Humla,35,1,,0
2020-12-31,Karnali,Humla,35,1,,0
2021-01-01,Karnali,Humla,35,1,,0
2021-01-02,Karnali,Humla,35,1,,0
2021-01-03,Karnali,Humla,35,1,,0
2021-01-04,Karnali,Humla,35,1,,0
2021-01-05,Karnali,Humla,35,1,,0
2021-01-06,Karnali,Humla,35,1,,0
2021-01-07,Karnali,Humla,36,1,,0
2021-01-08,Karnali,Humla,36,1,,0
2021-01-09,Karnali,Humla,36,1,,0
2021-01-10,Karnali,Humla,36,1,,0
2021-01-11,Karnali,Humla,36,1,,0
2021-01-12,Karnali,Humla,36,1,,0
2021-01-13,Karnali,Humla,36,1,,0
2021-01-14,Karnali,Humla,36,1,,0
2021-01-15,Karnali,Humla,36,1,,0
2021-01-16,Karnali,Humla,36,1,,0
2021-01-17,Karnali,Humla,36,1,,0
2021-01-18,Karnali,Humla,36,1,,0
