Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Saptari,316,0,130,0
2020-07-08,Province 2,Saptari,320,0,130,0
2020-07-09,Province 2,Saptari,322,0,130,0
2020-07-10,Province 2,Saptari,322,0,130,0
2020-07-11,Province 2,Saptari,322,0,130,0
2020-07-12,Province 2,Saptari,322,0,130,0
2020-07-13,Province 2,Saptari,323,0,130,0
2020-07-14,Province 2,Saptari,323,0,130,0
2020-07-15,Province 2,Saptari,336,0,130,0
2020-07-16,Province 2,Saptari,336,0,130,0
2020-07-17,Province 2,Saptari,337,1,130,0
2020-07-18,Province 2,Saptari,337,1,130,0
2020-07-19,Province 2,Saptari,369,1,130,0
2020-07-20,Province 2,Saptari,378,1,130,0
2020-07-21,Province 2,Saptari,379,1,130,0
2020-07-22,Province 2,Saptari,397,1,130,0
2020-07-23,Province 2,Saptari,404,1,130,0
2020-07-24,Province 2,Saptari,411,1,130,0
2020-07-25,Province 2,Saptari,422,1,130,0
2020-07-26,Province 2,Saptari,422,1,130,0
2020-07-27,Province 2,Saptari,445,1,130,0
2020-07-28,Province 2,Saptari,460,1,130,0
2020-07-29,Province 2,Saptari,462,1,130,0
2020-07-30,Province 2,Saptari,464,1,130,0
2020-07-31,Province 2,Saptari,465,1,130,0
2020-08-01,Province 2,Saptari,472,1,130,0
2020-08-02,Province 2,Saptari,472,1,130,0
2020-08-03,Province 2,Saptari,522,1,353,0
2020-08-04,Province 2,Saptari,529,1,353,0
2020-08-05,Province 2,Saptari,537,1,353,0
2020-08-06,Province 2,Saptari,537,2,353,0
2020-08-07,Province 2,Saptari,556,2,353,0
2020-08-08,Province 2,Saptari,557,2,353,0
2020-08-09,Province 2,Saptari,574,2,353,0
2020-08-10,Province 2,Saptari,574,2,353,0
2020-08-11,Province 2,Saptari,587,2,353,0
2020-08-12,Province 2,Saptari,592,3,353,0
2020-08-13,Province 2,Saptari,623,3,353,0
2020-08-14,Province 2,Saptari,637,3,353,0
2020-08-15,Province 2,Saptari,639,3,353,0
2020-08-16,Province 2,Saptari,650,3,353,0
2020-08-17,Province 2,Saptari,651,3,353,0
2020-08-18,Province 2,Saptari,654,3,353,0
2020-08-19,Province 2,Saptari,667,3,353,0
2020-08-20,Province 2,Saptari,678,4,353,0
2020-08-21,Province 2,Saptari,683,5,353,0
2020-08-22,Province 2,Saptari,686,5,353,0
2020-08-23,Province 2,Saptari,690,5,353,0
2020-08-24,Province 2,Saptari,705,5,353,0
2020-08-25,Province 2,Saptari,708,5,353,0
2020-08-26,Province 2,Saptari,709,5,353,0
2020-08-27,Province 2,Saptari,731,5,353,0
2020-08-28,Province 2,Saptari,738,5,353,0
2020-08-29,Province 2,Saptari,740,5,353,0
2020-08-30,Province 2,Saptari,746,5,353,0
2020-08-31,Province 2,Saptari,768,5,353,0
2020-09-01,Province 2,Saptari,769,5,353,0
2020-09-02,Province 2,Saptari,781,5,353,0
2020-09-03,Province 2,Saptari,782,5,353,0
2020-09-04,Province 2,Saptari,808,7,353,0
2020-09-05,Province 2,Saptari,828,7,353,0
2020-09-06,Province 2,Saptari,839,7,353,0
2020-09-07,Province 2,Saptari,858,7,353,0
2020-09-08,Province 2,Saptari,876,7,353,0
2020-09-09,Province 2,Saptari,902,7,353,0
2020-09-10,Province 2,Saptari,937,7,353,0
2020-09-11,Province 2,Saptari,941,7,353,0
2020-09-12,Province 2,Saptari,951,7,353,0
2020-09-13,Province 2,Saptari,953,7,353,0
2020-09-14,Province 2,Saptari,955,7,353,0
2020-09-15,Province 2,Saptari,979,7,353,0
2020-09-16,Province 2,Saptari,1023,8,353,0
2020-09-17,Province 2,Saptari,1032,8,353,0
2020-09-18,Province 2,Saptari,1077,8,353,0
2020-09-19,Province 2,Saptari,1096,8,353,0
2020-09-20,Province 2,Saptari,1101,8,353,0
2020-09-21,Province 2,Saptari,1148,8,353,0
2020-09-22,Province 2,Saptari,1156,8,353,0
2020-09-23,Province 2,Saptari,1168,8,353,0
2020-09-24,Province 2,Saptari,1184,8,353,0
2020-09-25,Province 2,Saptari,1187,9,353,0
2020-09-26,Province 2,Saptari,1198,10,353,0
2020-09-27,Province 2,Saptari,1206,10,353,0
2020-09-28,Province 2,Saptari,1216,10,353,0
2020-09-29,Province 2,Saptari,1221,10,353,0
2020-09-30,Province 2,Saptari,1228,11,353,0
2020-10-01,Province 2,Saptari,1244,11,353,0
2020-10-02,Province 2,Saptari,1259,11,353,0
2020-10-03,Province 2,Saptari,1278,11,353,0
2020-10-04,Province 2,Saptari,1281,11,353,0
2020-10-05,Province 2,Saptari,1286,11,353,0
2020-10-06,Province 2,Saptari,1288,11,353,0
2020-10-07,Province 2,Saptari,1321,11,353,0
2020-10-08,Province 2,Saptari,1346,11,353,0
2020-10-09,Province 2,Saptari,1347,11,353,0
2020-10-10,Province 2,Saptari,1353,11,353,0
2020-10-11,Province 2,Saptari,1381,11,353,0
2020-10-12,Province 2,Saptari,1403,11,353,0
2020-10-13,Province 2,Saptari,1456,11,353,0
2020-10-14,Province 2,Saptari,1464,11,353,0
2020-10-15,Province 2,Saptari,1472,11,353,0
2020-10-16,Province 2,Saptari,1496,11,353,0
2020-10-17,Province 2,Saptari,1505,11,353,0
2020-10-18,Province 2,Saptari,1506,11,353,0
2020-10-19,Province 2,Saptari,1569,11,353,0
2020-10-20,Province 2,Saptari,1578,11,353,0
2020-10-21,Province 2,Saptari,1595,11,353,0
2020-10-22,Province 2,Saptari,1595,11,353,0
2020-10-23,Province 2,Saptari,1659,11,353,0
2020-10-25,Province 2,Saptari,1680,11,353,0
2020-10-26,Province 2,Saptari,1709,11,353,0
2020-10-27,Province 2,Saptari,1709,11,353,0
2020-10-28,Province 2,Saptari,1720,12,353,0
2020-10-29,Province 2,Saptari,1725,12,353,0
2020-10-30,Province 2,Saptari,1741,13,353,0
2020-10-31,Province 2,Saptari,1761,13,353,0
2020-11-01,Province 2,Saptari,1777,13,353,0
