Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Baitadi,272,0,5,0
2020-07-08,Sudurpashchim,Baitadi,274,0,5,0
2020-07-09,Sudurpashchim,Baitadi,274,0,5,0
2020-07-10,Sudurpashchim,Baitadi,274,0,5,0
2020-07-11,Sudurpashchim,Baitadi,274,0,5,0
2020-07-12,Sudurpashchim,Baitadi,274,0,5,0
2020-07-13,Sudurpashchim,Baitadi,276,0,5,0
2020-07-14,Sudurpashchim,Baitadi,276,0,5,0
2020-07-15,Sudurpashchim,Baitadi,276,0,5,0
2020-07-16,Sudurpashchim,Baitadi,276,0,5,0
2020-07-17,Sudurpashchim,Baitadi,276,0,5,0
2020-07-18,Sudurpashchim,Baitadi,276,0,5,0
2020-07-19,Sudurpashchim,Baitadi,276,0,5,0
2020-07-20,Sudurpashchim,Baitadi,276,0,5,0
2020-07-21,Sudurpashchim,Baitadi,276,0,5,0
2020-07-22,Sudurpashchim,Baitadi,276,0,5,0
2020-07-23,Sudurpashchim,Baitadi,276,0,5,0
2020-07-24,Sudurpashchim,Baitadi,276,0,5,0
2020-07-25,Sudurpashchim,Baitadi,279,0,5,0
2020-07-26,Sudurpashchim,Baitadi,279,0,5,0
2020-07-27,Sudurpashchim,Baitadi,283,0,5,0
2020-07-28,Sudurpashchim,Baitadi,283,0,5,0
2020-07-29,Sudurpashchim,Baitadi,285,0,5,0
2020-07-30,Sudurpashchim,Baitadi,285,0,5,0
2020-07-31,Sudurpashchim,Baitadi,295,0,5,0
2020-08-01,Sudurpashchim,Baitadi,295,0,5,0
2020-08-02,Sudurpashchim,Baitadi,295,0,5,0
2020-08-03,Sudurpashchim,Baitadi,319,0,300,0
2020-08-04,Sudurpashchim,Baitadi,319,0,300,0
2020-08-05,Sudurpashchim,Baitadi,319,0,300,0
2020-08-06,Sudurpashchim,Baitadi,320,0,300,0
2020-08-07,Sudurpashchim,Baitadi,320,0,300,0
2020-08-08,Sudurpashchim,Baitadi,320,0,300,0
