Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Dolakha,8,1,3,0
2020-07-08,Bagmati,Dolakha,9,1,3,0
2020-07-09,Bagmati,Dolakha,9,1,3,0
2020-07-10,Bagmati,Dolakha,9,1,3,0
2020-07-11,Bagmati,Dolakha,9,1,3,0
2020-07-12,Bagmati,Dolakha,9,1,3,0
2020-07-13,Bagmati,Dolakha,10,1,3,0
2020-07-14,Bagmati,Dolakha,10,1,3,0
2020-07-15,Bagmati,Dolakha,10,1,3,0
2020-07-16,Bagmati,Dolakha,10,1,3,0
2020-07-17,Bagmati,Dolakha,10,1,3,0
2020-07-18,Bagmati,Dolakha,10,1,3,0
2020-07-19,Bagmati,Dolakha,10,1,3,0
2020-07-20,Bagmati,Dolakha,10,1,3,0
2020-07-21,Bagmati,Dolakha,10,1,3,0
2020-07-22,Bagmati,Dolakha,10,1,3,0
2020-07-23,Bagmati,Dolakha,10,1,3,0
2020-07-24,Bagmati,Dolakha,10,1,3,0
2020-07-25,Bagmati,Dolakha,10,1,3,0
2020-07-26,Bagmati,Dolakha,10,1,3,0
2020-07-27,Bagmati,Dolakha,10,1,3,0
2020-07-28,Bagmati,Dolakha,10,1,3,0
2020-07-29,Bagmati,Dolakha,10,1,3,0
2020-07-30,Bagmati,Dolakha,11,1,3,0
2020-07-31,Bagmati,Dolakha,11,1,3,0
2020-08-01,Bagmati,Dolakha,11,1,3,0
2020-08-02,Bagmati,Dolakha,11,1,3,0
2020-08-03,Bagmati,Dolakha,12,1,9,0
2020-08-04,Bagmati,Dolakha,12,1,9,0
2020-08-05,Bagmati,Dolakha,12,1,9,0
2020-08-06,Bagmati,Dolakha,13,1,9,0
2020-08-07,Bagmati,Dolakha,13,1,9,0
2020-08-08,Bagmati,Dolakha,15,1,9,0
2020-08-09,Bagmati,Dolakha,15,1,9,0
2020-08-10,Bagmati,Dolakha,15,1,9,0
2020-08-11,Bagmati,Dolakha,16,1,9,0
2020-08-12,Bagmati,Dolakha,18,1,9,0
2020-08-13,Bagmati,Dolakha,19,1,9,0
2020-08-14,Bagmati,Dolakha,20,1,9,0
2020-08-15,Bagmati,Dolakha,25,1,9,0
2020-08-16,Bagmati,Dolakha,25,1,9,0
2020-08-17,Bagmati,Dolakha,25,1,9,0
2020-08-18,Bagmati,Dolakha,27,1,9,0
2020-08-19,Bagmati,Dolakha,27,1,9,0
2020-08-20,Bagmati,Dolakha,29,1,9,0
2020-08-21,Bagmati,Dolakha,30,2,9,0
2020-08-22,Bagmati,Dolakha,34,2,9,0
2020-08-23,Bagmati,Dolakha,40,2,9,0
2020-08-24,Bagmati,Dolakha,41,2,9,0
2020-08-25,Bagmati,Dolakha,44,2,9,0
2020-08-26,Bagmati,Dolakha,46,2,9,0
2020-08-27,Bagmati,Dolakha,48,2,9,0
2020-08-28,Bagmati,Dolakha,48,2,9,0
2020-08-29,Bagmati,Dolakha,49,2,9,0
2020-08-30,Bagmati,Dolakha,49,2,9,0
2020-08-31,Bagmati,Dolakha,51,2,9,0
2020-09-01,Bagmati,Dolakha,62,2,9,0
2020-09-02,Bagmati,Dolakha,62,2,9,0
2020-09-03,Bagmati,Dolakha,67,2,9,0
2020-09-04,Bagmati,Dolakha,69,2,9,0
2020-09-05,Bagmati,Dolakha,75,2,9,0
2020-09-06,Bagmati,Dolakha,82,2,9,0
2020-09-07,Bagmati,Dolakha,85,3,9,0
2020-09-08,Bagmati,Dolakha,87,3,9,0
2020-09-09,Bagmati,Dolakha,90,3,9,0
2020-09-10,Bagmati,Dolakha,93,3,9,0
2020-09-11,Bagmati,Dolakha,93,3,9,0
2020-09-12,Bagmati,Dolakha,94,3,9,0
2020-09-13,Bagmati,Dolakha,94,3,9,0
2020-09-14,Bagmati,Dolakha,95,3,9,0
2020-09-15,Bagmati,Dolakha,100,3,9,0
2020-09-16,Bagmati,Dolakha,103,3,9,0
2020-09-17,Bagmati,Dolakha,106,3,9,0
2020-09-18,Bagmati,Dolakha,107,3,9,0
2020-09-19,Bagmati,Dolakha,112,3,9,0
2020-09-20,Bagmati,Dolakha,116,3,9,0
2020-09-21,Bagmati,Dolakha,119,4,9,0
2020-09-22,Bagmati,Dolakha,121,4,9,0
2020-09-23,Bagmati,Dolakha,121,4,9,0
2020-09-24,Bagmati,Dolakha,124,4,9,0
2020-09-25,Bagmati,Dolakha,125,4,9,0
2020-09-26,Bagmati,Dolakha,126,4,9,0
2020-09-27,Bagmati,Dolakha,126,4,9,0
2020-09-28,Bagmati,Dolakha,127,4,9,0
2020-09-29,Bagmati,Dolakha,127,4,9,0
2020-09-30,Bagmati,Dolakha,130,4,9,0
2020-10-01,Bagmati,Dolakha,133,4,9,0
2020-10-02,Bagmati,Dolakha,135,4,9,0
2020-10-03,Bagmati,Dolakha,139,5,9,0
2020-10-04,Bagmati,Dolakha,141,5,9,0
2020-10-05,Bagmati,Dolakha,142,5,9,0
2020-10-06,Bagmati,Dolakha,143,5,9,0
2020-10-07,Bagmati,Dolakha,149,5,9,0
2020-10-08,Bagmati,Dolakha,150,5,9,0
2020-10-09,Bagmati,Dolakha,153,5,9,0
2020-10-10,Bagmati,Dolakha,161,5,9,0
2020-10-11,Bagmati,Dolakha,164,5,9,0
2020-10-12,Bagmati,Dolakha,171,5,9,0
2020-10-13,Bagmati,Dolakha,182,6,9,0
2020-10-14,Bagmati,Dolakha,186,6,9,0
2020-10-15,Bagmati,Dolakha,196,6,9,0
2020-10-16,Bagmati,Dolakha,202,6,9,0
2020-10-17,Bagmati,Dolakha,208,6,9,0
2020-10-18,Bagmati,Dolakha,209,6,9,0
2020-10-19,Bagmati,Dolakha,210,6,9,0
2020-10-20,Bagmati,Dolakha,211,6,9,0
2020-10-21,Bagmati,Dolakha,229,6,9,0
2020-10-22,Bagmati,Dolakha,236,6,9,0
2020-10-23,Bagmati,Dolakha,258,6,9,0
2020-10-25,Bagmati,Dolakha,263,6,9,0
2020-10-26,Bagmati,Dolakha,270,6,9,0
2020-10-27,Bagmati,Dolakha,271,6,9,0
2020-10-28,Bagmati,Dolakha,271,6,9,0
2020-10-29,Bagmati,Dolakha,287,7,9,0
2020-10-30,Bagmati,Dolakha,314,7,9,0
2020-10-31,Bagmati,Dolakha,336,7,9,0
2020-11-01,Bagmati,Dolakha,339,7,9,0
2020-11-02,Bagmati,Dolakha,347,7,9,0
2020-11-03,Bagmati,Dolakha,358,7,9,0
2020-11-04,Bagmati,Dolakha,374,7,9,0
2020-11-05,Bagmati,Dolakha,377,9,9,0
2020-11-06,Bagmati,Dolakha,389,9,9,0
2020-11-07,Bagmati,Dolakha,389,9,9,0
2020-11-08,Bagmati,Dolakha,407,9,9,0
2020-11-09,Bagmati,Dolakha,449,9,9,0
2020-11-10,Bagmati,Dolakha,473,9,9,0
2020-11-11,Bagmati,Dolakha,488,9,9,0
2020-11-12,Bagmati,Dolakha,488,9,9,0
2020-11-13,Bagmati,Dolakha,509,9,9,0
2020-11-14,Bagmati,Dolakha,521,9,2503,0
2020-11-15,Bagmati,Dolakha,521,9,2503,0
2020-11-16,Bagmati,Dolakha,521,9,2503,0
2020-11-17,Bagmati,Dolakha,534,9,2503,0
2020-11-18,Bagmati,Dolakha,534,9,2503,0
2020-11-19,Bagmati,Dolakha,535,9,2503,0
2020-11-20,Bagmati,Dolakha,552,10,2503,0
2020-11-21,Bagmati,Dolakha,555,10,2503,0
2020-11-22,Bagmati,Dolakha,559,10,2503,0
2020-11-23,Bagmati,Dolakha,575,10,2503,0
2020-11-24,Bagmati,Dolakha,580,10,2503,0
2020-11-25,Bagmati,Dolakha,584,10,2503,0
2020-11-26,Bagmati,Dolakha,588,10,2503,0
2020-11-27,Bagmati,Dolakha,588,10,2503,0
2020-11-28,Bagmati,Dolakha,607,10,2503,0
2020-11-29,Bagmati,Dolakha,614,17,2503,0
2020-11-30,Bagmati,Dolakha,616,18,2503,0
