Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Taplejung,11,0,4,0
2020-07-08,Province 1,Taplejung,11,0,4,0
2020-07-09,Province 1,Taplejung,11,0,4,0
2020-07-10,Province 1,Taplejung,11,0,4,0
2020-07-11,Province 1,Taplejung,11,0,4,0
2020-07-12,Province 1,Taplejung,11,0,4,0
2020-07-13,Province 1,Taplejung,11,0,4,0
2020-07-14,Province 1,Taplejung,11,0,4,0
2020-07-15,Province 1,Taplejung,12,0,4,0
2020-07-16,Province 1,Taplejung,12,0,4,0
2020-07-17,Province 1,Taplejung,12,0,4,0
2020-07-18,Province 1,Taplejung,12,0,4,0
2020-07-19,Province 1,Taplejung,12,0,4,0
2020-07-20,Province 1,Taplejung,12,0,4,0
2020-07-21,Province 1,Taplejung,12,0,4,0
2020-07-22,Province 1,Taplejung,15,0,4,0
2020-07-23,Province 1,Taplejung,15,0,4,0
2020-07-24,Province 1,Taplejung,15,0,4,0
2020-07-25,Province 1,Taplejung,15,0,4,0
2020-07-26,Province 1,Taplejung,15,0,4,0
2020-07-27,Province 1,Taplejung,15,0,4,0
2020-07-28,Province 1,Taplejung,15,0,4,0
2020-07-29,Province 1,Taplejung,15,0,4,0
2020-07-30,Province 1,Taplejung,15,0,4,0
2020-07-31,Province 1,Taplejung,15,0,4,0
2020-08-01,Province 1,Taplejung,15,0,4,0
2020-08-02,Province 1,Taplejung,15,0,4,0
2020-08-03,Province 1,Taplejung,15,0,7,0
2020-08-04,Province 1,Taplejung,15,0,7,0
2020-08-05,Province 1,Taplejung,15,0,7,0
2020-08-06,Province 1,Taplejung,15,0,7,0
2020-08-07,Province 1,Taplejung,15,0,7,0
2020-08-08,Province 1,Taplejung,15,0,7,0
2020-08-09,Province 1,Taplejung,15,0,7,0
2020-08-10,Province 1,Taplejung,15,0,7,0
2020-08-11,Province 1,Taplejung,15,0,7,0
2020-08-12,Province 1,Taplejung,16,0,7,0
2020-08-13,Province 1,Taplejung,16,0,7,0
2020-08-14,Province 1,Taplejung,16,0,7,0
2020-08-15,Province 1,Taplejung,16,0,7,0
2020-08-16,Province 1,Taplejung,17,0,7,0
2020-08-17,Province 1,Taplejung,17,0,7,0
2020-08-18,Province 1,Taplejung,17,0,7,0
2020-08-19,Province 1,Taplejung,17,0,7,0
2020-08-20,Province 1,Taplejung,17,0,7,0
2020-08-21,Province 1,Taplejung,18,0,7,0
2020-08-22,Province 1,Taplejung,18,0,7,0
2020-08-23,Province 1,Taplejung,18,0,7,0
2020-08-24,Province 1,Taplejung,18,0,7,0
2020-08-25,Province 1,Taplejung,18,0,7,0
2020-08-26,Province 1,Taplejung,18,0,7,0
2020-08-27,Province 1,Taplejung,18,0,7,0
2020-08-28,Province 1,Taplejung,18,0,7,0
2020-08-29,Province 1,Taplejung,18,0,7,0
2020-08-30,Province 1,Taplejung,18,0,7,0
2020-08-31,Province 1,Taplejung,18,0,7,0
2020-09-01,Province 1,Taplejung,18,0,7,0
2020-09-02,Province 1,Taplejung,18,0,7,0
2020-09-03,Province 1,Taplejung,18,0,7,0
2020-09-04,Province 1,Taplejung,18,0,7,0
2020-09-05,Province 1,Taplejung,18,0,7,0
2020-09-06,Province 1,Taplejung,19,0,7,0
2020-09-07,Province 1,Taplejung,19,0,7,0
2020-09-08,Province 1,Taplejung,19,0,7,0
2020-09-09,Province 1,Taplejung,20,0,7,0
2020-09-10,Province 1,Taplejung,20,0,7,0
2020-09-11,Province 1,Taplejung,20,0,7,0
2020-09-12,Province 1,Taplejung,20,0,7,0
2020-09-13,Province 1,Taplejung,20,0,7,0
2020-09-14,Province 1,Taplejung,20,0,7,0
2020-09-15,Province 1,Taplejung,21,0,7,0
2020-09-16,Province 1,Taplejung,21,0,7,0
2020-09-17,Province 1,Taplejung,21,0,7,0
