Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Sindhupalchok,54,1,1,0
2020-07-08,Bagmati,Sindhupalchok,55,1,1,0
2020-07-09,Bagmati,Sindhupalchok,56,1,1,0
2020-07-10,Bagmati,Sindhupalchok,57,1,1,0
2020-07-11,Bagmati,Sindhupalchok,62,2,1,0
2020-07-12,Bagmati,Sindhupalchok,63,2,1,0
2020-07-13,Bagmati,Sindhupalchok,63,2,1,0
2020-07-14,Bagmati,Sindhupalchok,64,2,1,0
2020-07-15,Bagmati,Sindhupalchok,65,2,1,0
2020-07-16,Bagmati,Sindhupalchok,65,2,1,0
2020-07-17,Bagmati,Sindhupalchok,65,2,1,0
2020-07-18,Bagmati,Sindhupalchok,65,2,1,0
2020-07-19,Bagmati,Sindhupalchok,65,2,1,0
2020-07-20,Bagmati,Sindhupalchok,65,2,1,0
2020-07-21,Bagmati,Sindhupalchok,65,2,1,0
2020-07-22,Bagmati,Sindhupalchok,65,2,1,0
2020-07-23,Bagmati,Sindhupalchok,65,2,1,0
2020-07-24,Bagmati,Sindhupalchok,65,2,1,0
2020-07-25,Bagmati,Sindhupalchok,65,2,1,0
2020-07-26,Bagmati,Sindhupalchok,65,2,1,0
2020-07-27,Bagmati,Sindhupalchok,65,2,1,0
2020-07-28,Bagmati,Sindhupalchok,69,2,1,0
2020-07-29,Bagmati,Sindhupalchok,69,2,1,0
2020-07-30,Bagmati,Sindhupalchok,69,2,1,0
2020-07-31,Bagmati,Sindhupalchok,69,2,1,0
2020-08-01,Bagmati,Sindhupalchok,69,2,1,0
2020-08-02,Bagmati,Sindhupalchok,69,2,1,0
2020-08-03,Bagmati,Sindhupalchok,69,2,35,0
2020-08-04,Bagmati,Sindhupalchok,69,2,35,0
2020-08-05,Bagmati,Sindhupalchok,70,2,35,0
2020-08-06,Bagmati,Sindhupalchok,70,2,35,0
2020-08-07,Bagmati,Sindhupalchok,71,2,35,0
2020-08-08,Bagmati,Sindhupalchok,71,2,35,0
2020-08-09,Bagmati,Sindhupalchok,72,2,35,0
2020-08-10,Bagmati,Sindhupalchok,73,2,35,0
2020-08-11,Bagmati,Sindhupalchok,74,3,35,0
2020-08-12,Bagmati,Sindhupalchok,74,3,35,0
2020-08-13,Bagmati,Sindhupalchok,74,3,35,0
2020-08-14,Bagmati,Sindhupalchok,75,3,35,0
2020-08-15,Bagmati,Sindhupalchok,75,3,35,0
2020-08-16,Bagmati,Sindhupalchok,75,3,35,0
2020-08-17,Bagmati,Sindhupalchok,80,3,35,0
2020-08-18,Bagmati,Sindhupalchok,83,3,35,0
2020-08-19,Bagmati,Sindhupalchok,83,3,35,0
2020-08-20,Bagmati,Sindhupalchok,84,3,35,0
2020-08-21,Bagmati,Sindhupalchok,84,3,35,0
2020-08-22,Bagmati,Sindhupalchok,84,3,35,0
2020-08-23,Bagmati,Sindhupalchok,84,3,35,0
2020-08-24,Bagmati,Sindhupalchok,89,3,35,0
2020-08-25,Bagmati,Sindhupalchok,91,3,35,0
2020-08-26,Bagmati,Sindhupalchok,92,3,35,0
2020-08-27,Bagmati,Sindhupalchok,95,3,35,0
2020-08-28,Bagmati,Sindhupalchok,96,3,35,0
2020-08-29,Bagmati,Sindhupalchok,97,3,35,0
2020-08-30,Bagmati,Sindhupalchok,99,3,35,0
2020-08-31,Bagmati,Sindhupalchok,100,3,35,0
2020-09-01,Bagmati,Sindhupalchok,101,3,35,0
2020-09-02,Bagmati,Sindhupalchok,103,3,35,0
2020-09-03,Bagmati,Sindhupalchok,106,4,35,0
2020-09-04,Bagmati,Sindhupalchok,110,4,35,0
2020-09-05,Bagmati,Sindhupalchok,110,4,35,0
2020-09-06,Bagmati,Sindhupalchok,113,4,35,0
2020-09-07,Bagmati,Sindhupalchok,116,4,35,0
2020-09-08,Bagmati,Sindhupalchok,117,4,35,0
2020-09-09,Bagmati,Sindhupalchok,120,4,35,0
