Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Bajhang,146,0,1,0
2020-07-08,Sudurpashchim,Bajhang,150,0,1,0
2020-07-09,Sudurpashchim,Bajhang,166,0,1,0
2020-07-10,Sudurpashchim,Bajhang,166,0,1,0
2020-07-11,Sudurpashchim,Bajhang,166,0,1,0
2020-07-12,Sudurpashchim,Bajhang,167,0,1,0
2020-07-13,Sudurpashchim,Bajhang,169,0,1,0
2020-07-14,Sudurpashchim,Bajhang,169,0,1,0
2020-07-15,Sudurpashchim,Bajhang,169,0,1,0
2020-07-16,Sudurpashchim,Bajhang,170,0,1,0
2020-07-17,Sudurpashchim,Bajhang,171,0,1,0
2020-07-18,Sudurpashchim,Bajhang,173,0,1,0
2020-07-19,Sudurpashchim,Bajhang,173,0,1,0
2020-07-20,Sudurpashchim,Bajhang,173,0,1,0
2020-07-21,Sudurpashchim,Bajhang,177,0,1,0
2020-07-22,Sudurpashchim,Bajhang,178,0,1,0
2020-07-23,Sudurpashchim,Bajhang,179,0,1,0
2020-07-24,Sudurpashchim,Bajhang,179,0,1,0
2020-07-25,Sudurpashchim,Bajhang,179,0,1,0
2020-07-26,Sudurpashchim,Bajhang,179,0,1,0
2020-07-27,Sudurpashchim,Bajhang,179,0,1,0
2020-07-28,Sudurpashchim,Bajhang,182,1,1,0
2020-07-29,Sudurpashchim,Bajhang,182,1,1,0
2020-07-30,Sudurpashchim,Bajhang,182,1,1,0
2020-07-31,Sudurpashchim,Bajhang,207,1,1,0
2020-08-01,Sudurpashchim,Bajhang,275,1,1,0
2020-08-02,Sudurpashchim,Bajhang,277,1,1,0
2020-08-03,Sudurpashchim,Bajhang,277,1,107,0
2020-08-04,Sudurpashchim,Bajhang,278,1,107,0
2020-08-05,Sudurpashchim,Bajhang,289,1,107,0
2020-08-06,Sudurpashchim,Bajhang,292,1,107,0
2020-08-07,Sudurpashchim,Bajhang,292,1,107,0
2020-08-08,Sudurpashchim,Bajhang,295,1,107,0
2020-08-09,Sudurpashchim,Bajhang,295,1,107,0
2020-08-10,Sudurpashchim,Bajhang,296,1,107,0
2020-08-11,Sudurpashchim,Bajhang,296,1,107,0
2020-08-12,Sudurpashchim,Bajhang,296,1,107,0
2020-08-13,Sudurpashchim,Bajhang,296,1,107,0
2020-08-14,Sudurpashchim,Bajhang,297,1,107,0
2020-08-15,Sudurpashchim,Bajhang,298,1,107,0
2020-08-16,Sudurpashchim,Bajhang,298,1,107,0
2020-08-17,Sudurpashchim,Bajhang,299,1,107,0
2020-08-18,Sudurpashchim,Bajhang,299,1,107,0
2020-08-19,Sudurpashchim,Bajhang,299,1,107,0
2020-08-20,Sudurpashchim,Bajhang,300,1,107,0
2020-08-21,Sudurpashchim,Bajhang,300,1,107,0
2020-08-22,Sudurpashchim,Bajhang,300,1,107,0
2020-08-23,Sudurpashchim,Bajhang,303,1,107,0
2020-08-24,Sudurpashchim,Bajhang,303,1,107,0
2020-08-25,Sudurpashchim,Bajhang,312,1,107,0
2020-08-26,Sudurpashchim,Bajhang,312,1,107,0
2020-08-27,Sudurpashchim,Bajhang,313,1,107,0
2020-08-28,Sudurpashchim,Bajhang,313,1,107,0
2020-08-29,Sudurpashchim,Bajhang,339,1,107,0
2020-08-30,Sudurpashchim,Bajhang,386,1,107,0
2020-08-31,Sudurpashchim,Bajhang,387,1,107,0
2020-09-01,Sudurpashchim,Bajhang,427,1,107,0
2020-09-02,Sudurpashchim,Bajhang,436,1,107,0
2020-09-03,Sudurpashchim,Bajhang,446,1,107,0
2020-09-04,Sudurpashchim,Bajhang,449,1,107,0
