Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Kapilvastu,756,0,343,0
2020-07-08,Province 5,Kapilvastu,756,0,343,0
2020-07-09,Province 5,Kapilvastu,756,0,343,0
2020-07-10,Province 5,Kapilvastu,756,0,343,0
2020-07-11,Province 5,Kapilvastu,756,0,343,0
2020-07-12,Province 5,Kapilvastu,756,0,343,0
2020-07-13,Province 5,Kapilvastu,765,0,343,0
2020-07-14,Province 5,Kapilvastu,765,0,343,0
2020-07-15,Province 5,Kapilvastu,765,0,343,0
2020-07-16,Province 5,Kapilvastu,765,0,343,0
2020-07-17,Province 5,Kapilvastu,765,0,343,0
2020-07-18,Province 5,Kapilvastu,765,0,343,0
2020-07-19,Province 5,Kapilvastu,765,0,343,0
2020-07-20,Province 5,Kapilvastu,765,0,343,0
2020-07-21,Province 5,Kapilvastu,765,0,343,0
2020-07-22,Province 5,Kapilvastu,765,0,343,0
2020-07-23,Province 5,Kapilvastu,765,0,343,0
2020-07-24,Province 5,Kapilvastu,765,0,343,0
2020-07-25,Province 5,Kapilvastu,771,0,343,0
2020-07-26,Province 5,Kapilvastu,771,0,343,0
2020-07-27,Province 5,Kapilvastu,771,0,343,0
2020-07-28,Province 5,Kapilvastu,805,0,343,0
