Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Lalitpur,48,2,2,0
2020-07-08,Bagmati,Lalitpur,55,2,2,0
2020-07-09,Bagmati,Lalitpur,55,2,2,0
2020-07-10,Bagmati,Lalitpur,68,2,2,0
2020-07-11,Bagmati,Lalitpur,68,2,2,0
2020-07-12,Bagmati,Lalitpur,69,2,2,0
2020-07-13,Bagmati,Lalitpur,74,2,2,0
2020-07-14,Bagmati,Lalitpur,74,2,2,0
2020-07-15,Bagmati,Lalitpur,74,2,2,0
2020-07-16,Bagmati,Lalitpur,74,2,2,0
2020-07-17,Bagmati,Lalitpur,74,2,2,0
2020-07-18,Bagmati,Lalitpur,74,2,2,0
2020-07-19,Bagmati,Lalitpur,76,2,2,0
2020-07-20,Bagmati,Lalitpur,77,2,2,0
2020-07-21,Bagmati,Lalitpur,78,2,2,0
2020-07-22,Bagmati,Lalitpur,78,2,2,0
2020-07-23,Bagmati,Lalitpur,80,2,2,0
2020-07-24,Bagmati,Lalitpur,80,2,2,0
2020-07-25,Bagmati,Lalitpur,81,2,2,0
2020-07-26,Bagmati,Lalitpur,81,2,2,0
2020-07-27,Bagmati,Lalitpur,84,2,2,0
2020-07-28,Bagmati,Lalitpur,88,2,2,0
2020-07-29,Bagmati,Lalitpur,88,2,2,0
2020-07-30,Bagmati,Lalitpur,90,2,2,0
2020-07-31,Bagmati,Lalitpur,95,2,2,0
2020-08-01,Bagmati,Lalitpur,95,2,2,0
2020-08-02,Bagmati,Lalitpur,101,2,2,0
2020-08-03,Bagmati,Lalitpur,107,1,30,0
2020-08-04,Bagmati,Lalitpur,108,1,30,0
2020-08-05,Bagmati,Lalitpur,113,1,30,0
2020-08-06,Bagmati,Lalitpur,123,1,30,0
2020-08-07,Bagmati,Lalitpur,133,1,30,0
2020-08-08,Bagmati,Lalitpur,136,1,30,0
2020-08-09,Bagmati,Lalitpur,138,1,30,0
2020-08-10,Bagmati,Lalitpur,142,1,30,0
2020-08-11,Bagmati,Lalitpur,158,1,30,0
2020-08-12,Bagmati,Lalitpur,179,1,30,0
2020-08-13,Bagmati,Lalitpur,190,1,30,0
2020-08-14,Bagmati,Lalitpur,220,1,30,0
2020-08-15,Bagmati,Lalitpur,229,1,30,0
2020-08-16,Bagmati,Lalitpur,267,1,30,0
2020-08-17,Bagmati,Lalitpur,282,1,30,0
2020-08-18,Bagmati,Lalitpur,332,1,30,0
2020-08-19,Bagmati,Lalitpur,349,1,30,0
2020-08-20,Bagmati,Lalitpur,367,1,30,0
2020-08-21,Bagmati,Lalitpur,392,2,30,0
